id,area,rt,mz_range:min,mz_range:max,fragment_scans,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,charge,datafile:20250402_PMA_tp24_000022_01_01.mzML:feature_state,datafile:20250402_PMA_tp24_000022_01_01.mzML:area,datafile:20250402_PMA_tp24_000022_01_01.mzML:rt,datafile:20250402_PMA_tp24_000022_01_01.mzML:mz_range:min,datafile:20250402_PMA_tp24_000022_01_01.mzML:mz_range:max,datafile:20250402_PMA_tp24_000022_01_01.mzML:fragment_scans,datafile:20250402_PMA_tp24_000022_01_01.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_000022_01_01.mzML:fwhm,datafile:20250402_PMA_tp24_000022_01_01.mzML:rt_range:min,datafile:20250402_PMA_tp24_000022_01_01.mzML:rt_range:max,datafile:20250402_PMA_tp24_000022_01_01.mzML:mz,datafile:20250402_PMA_tp24_000022_01_01.mzML:intensity_range:min,datafile:20250402_PMA_tp24_000022_01_01.mzML:intensity_range:max,datafile:20250402_PMA_tp24_000022_01_01.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_000022_01_01.mzML:tailing_factor,datafile:20250402_PMA_tp24_000022_01_01.mzML:height,datafile:20250402_PMA_tp24_000022_01_01.mzML:charge,datafile:20250402_PMA_tp24_000022_01_01.mzML:isotopes
1,1.802E6,0.3094,139.98235,139.98262,6,0.1344,0.3592,139.98253,1.547E6,1.125E7,1.125E7,,DETECTED,1.802E6,0.3094,139.98235,139.98262,6,-0.1722,0.1614,0.1344,0.3592,139.98253,1.547E6,1.125E7,0.2848,0.6424,1.125E7,,
2,2.259E5,0.3434,129.13881,129.13896,1,0.3181,0.3908,129.13889,7.226E5,7.64E6,7.64E6,,DETECTED,2.259E5,0.3434,129.13881,129.13896,1,-0.003,0.0234,0.3181,0.3908,129.13889,7.226E5,7.64E6,2.3352,1.3333,7.64E6,,
3,1.549E6,0.3434,146.16531,146.16576,2,0.3181,0.3988,146.16537,2.613E6,5.506E7,5.506E7,1,DETECTED,1.549E6,0.3434,146.16531,146.16576,2,-0.0127,0.0218,0.3181,0.3988,146.16537,2.613E6,5.506E7,2.3346,1.4298,5.506E7,1,2
5,1.911E5,0.3434,160.18074,160.18109,1,0.3181,0.3908,160.18099,6.22E5,6.676E6,6.676E6,,DETECTED,1.911E5,0.3434,160.18074,160.18109,1,-0.0018,0.0216,0.3181,0.3908,160.18099,6.22E5,6.676E6,2.5096,1.808,6.676E6,,
6,1.209E5,0.3434,235.95207,235.95316,0,0.3268,0.3828,235.95225,5.632E5,7.676E6,7.676E6,,DETECTED,1.209E5,0.3434,235.95207,235.95316,,,0.0129,0.3268,0.3828,235.95225,5.632E5,7.676E6,6.1942,1.262,7.676E6,,
7,1.307E5,0.3592,304.96912,304.96988,0,0.3354,0.3988,304.96941,5.379E5,3.476E6,3.476E6,,DETECTED,1.307E5,0.3592,304.96912,304.96988,,,0.0543,0.3354,0.3988,304.96941,5.379E5,3.476E6,1.3546,1.3311,3.476E6,,
8,2.675E5,0.3671,138.02759,138.02786,0,0.3354,0.3988,138.02765,7.552E5,7.924E6,7.924E6,,DETECTED,2.675E5,0.3671,138.02759,138.02786,,,0.0562,0.3354,0.3988,138.02765,7.552E5,7.924E6,1.0188,1.1443,7.924E6,,
9,1.714E5,0.3671,146.02994,146.03024,0,0.3354,0.3988,146.03001,7.782E5,4.783E6,4.783E6,,DETECTED,1.714E5,0.3671,146.02994,146.03024,,,0.037,0.3354,0.3988,146.03001,7.782E5,4.783E6,1.2678,0.9999,4.783E6,,
11,1.13E5,0.3671,194.05945,194.05983,0,0.3434,0.3988,194.05958,6.391E5,3.233E6,3.233E6,,DETECTED,1.13E5,0.3671,194.05945,194.05983,,,0.036,0.3434,0.3988,194.05958,6.391E5,3.233E6,1.0525,1.169,3.233E6,,
12,6.366E5,0.3671,216.95079,216.95123,1,0.3354,0.3988,216.95087,1.209E6,2.13E7,2.13E7,,DETECTED,6.366E5,0.3671,216.95079,216.95123,1,0.005,0.0323,0.3354,0.3988,216.95087,1.209E6,2.13E7,0.9925,0.9859,2.13E7,,
13,3.953E6,0.3671,218.98294,218.98427,1,0.3354,0.4068,218.98381,5.17E5,1.254E8,1.254E8,,DETECTED,3.953E6,0.3671,218.98294,218.98427,1,-0.013,0.0364,0.3354,0.4068,218.98381,5.17E5,1.254E8,1.0004,0.9892,1.254E8,,
14,2.349E5,0.3671,234.96135,234.96188,0,0.3434,0.3988,234.96148,7.776E5,7.862E6,7.862E6,,DETECTED,2.349E5,0.3671,234.96135,234.96188,,,0.0327,0.3434,0.3988,234.96148,7.776E5,7.862E6,1.0014,1.0157,7.862E6,,
15,4.534E5,0.3671,244.99809,244.99854,0,0.3354,0.3988,244.99824,7.437E5,1.509E7,1.509E7,,DETECTED,4.534E5,0.3671,244.99809,244.99854,,,0.0341,0.3354,0.3988,244.99824,7.437E5,1.509E7,0.9991,0.9891,1.509E7,,
16,1.553E5,0.3671,258.9639,258.96426,0,0.3354,0.3988,258.96396,5.085E5,4.486E6,4.486E6,,DETECTED,1.553E5,0.3671,258.9639,258.96426,,,0.0516,0.3354,0.3988,258.96396,5.085E5,4.486E6,0.7553,0.9999,4.486E6,,
17,3.247E5,0.3671,268.94781,268.94827,0,0.3354,0.3988,268.94788,7.644E5,9.517E6,9.517E6,,DETECTED,3.247E5,0.3671,268.94781,268.94827,,,0.0454,0.3354,0.3988,268.94788,7.644E5,9.517E6,0.9367,0.88,9.517E6,,
18,2.582E5,0.3671,281.97952,281.98016,0,0.3354,0.3988,281.97974,7.673E5,7.478E6,7.478E6,,DETECTED,2.582E5,0.3671,281.97952,281.98016,,,0.0506,0.3354,0.3988,281.97974,7.673E5,7.478E6,0.7499,0.9999,7.478E6,,
