id,area,rt,mz_range:min,mz_range:max,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,fragment_scans,charge,datafile:20250402_PMA_tp24_000028_01_01.mzML:feature_state,datafile:20250402_PMA_tp24_000028_01_01.mzML:area,datafile:20250402_PMA_tp24_000028_01_01.mzML:rt,datafile:20250402_PMA_tp24_000028_01_01.mzML:mz_range:min,datafile:20250402_PMA_tp24_000028_01_01.mzML:mz_range:max,datafile:20250402_PMA_tp24_000028_01_01.mzML:fwhm,datafile:20250402_PMA_tp24_000028_01_01.mzML:rt_range:min,datafile:20250402_PMA_tp24_000028_01_01.mzML:rt_range:max,datafile:20250402_PMA_tp24_000028_01_01.mzML:mz,datafile:20250402_PMA_tp24_000028_01_01.mzML:intensity_range:min,datafile:20250402_PMA_tp24_000028_01_01.mzML:intensity_range:max,datafile:20250402_PMA_tp24_000028_01_01.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_000028_01_01.mzML:tailing_factor,datafile:20250402_PMA_tp24_000028_01_01.mzML:height,datafile:20250402_PMA_tp24_000028_01_01.mzML:fragment_scans,datafile:20250402_PMA_tp24_000028_01_01.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_000028_01_01.mzML:charge,datafile:20250402_PMA_tp24_000028_01_01.mzML:isotopes
1,1.227E5,0.0898,138.98615,138.98634,0.0295,0.1676,138.98629,5.337E5,1.186E6,1.186E6,0,,DETECTED,1.227E5,0.0898,138.98615,138.98634,0.0992,0.0295,0.1676,138.98629,5.337E5,1.186E6,1.2883,1.1441,1.186E6,,,,
2,1.703E6,0.2627,139.98232,139.98251,0.1676,0.3555,139.98247,2.109E6,1.276E7,1.276E7,6,,DETECTED,1.703E6,0.2627,139.98232,139.98251,0.1726,0.1676,0.3555,139.98247,2.109E6,1.276E7,0.9764,0.9882,1.276E7,6,-0.0826,,
3,2.172E5,0.3476,129.13881,129.13898,0.3144,0.3871,129.13887,5.295E5,7.61E6,7.61E6,1,,DETECTED,2.172E5,0.3476,129.13881,129.13898,0.0284,0.3144,0.3871,129.13887,5.295E5,7.61E6,1.3337,1.2069,7.61E6,1,-0.0122,,
4,1.444E6,0.3476,146.16516,146.16545,0.3144,0.4029,146.16534,7.085E5,5.24E7,5.24E7,2,1,DETECTED,1.444E6,0.3476,146.16516,146.16545,0.0224,0.3144,0.4029,146.16534,7.085E5,5.24E7,1.4789,1.272,5.24E7,2,-0.0207,1,2
6,8.587E4,0.3476,160.1808,160.18106,0.323,0.3792,160.18095,8.729E5,2.846E6,2.846E6,1,,DETECTED,8.587E4,0.3476,160.1808,160.18106,0.0326,0.323,0.3792,160.18095,8.729E5,2.846E6,1.2815,1.1408,2.846E6,1,-0.0051,,
7,4.593E5,0.3634,124.03928,124.0414,0.0028,0.395,124.04036,5.081E5,7.045E6,7.045E6,4,,DETECTED,4.593E5,0.3634,124.03928,124.0414,0.0274,0.0028,0.395,124.04036,5.081E5,7.045E6,0.5727,0.988,7.045E6,4,-0.3236,,
8,2.974E6,0.3634,125.98637,125.98659,0.0028,0.395,125.98649,9.704E5,8.647E7,8.647E7,9,,DETECTED,2.974E6,0.3634,125.98637,125.98659,0.0264,0.0028,0.395,125.98649,9.704E5,8.647E7,1.0202,1.0071,8.647E7,9,-0.345,,
9,2.511E6,0.3634,128.01947,128.01964,0.3315,0.411,128.0195,7.537E5,8.714E7,8.714E7,1,,DETECTED,2.511E6,0.3634,128.01947,128.01964,0.0274,0.3315,0.411,128.0195,7.537E5,8.714E7,1.035,1.0162,8.714E7,1,-0.0108,,
10,5.026E5,0.3634,130.017,130.01709,0.3315,0.395,130.01705,8.904E5,1.859E7,1.859E7,0,,DETECTED,5.026E5,0.3634,130.017,130.01709,0.0258,0.3315,0.395,130.01705,8.904E5,1.859E7,1.039,1.02,1.859E7,,,,
11,4.618E5,0.3634,143.99699,143.99707,0.3315,0.395,143.99703,1.149E6,1.658E7,1.658E7,0,,DETECTED,4.618E5,0.3634,143.99699,143.99707,0.027,0.3315,0.395,143.99703,1.149E6,1.658E7,1.0167,1.0072,1.658E7,,,,
