id,area,rt,mz_range:min,mz_range:max,fragment_scans,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,charge,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:feature_state,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:area,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:rt,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:mz_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:mz_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:fragment_scans,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:fwhm,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:rt_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:rt_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:mz,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:intensity_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:intensity_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:tailing_factor,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:height,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:charge,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:isotopes
1,1.811E5,0.3348,130.00819,130.0083,1,0.3175,0.386,130.00823,5.054E5,7.517E6,7.517E6,,DETECTED,1.811E5,0.3348,130.00819,130.0083,1,-0.0035,0.0203,0.3175,0.386,130.00823,5.054E5,7.517E6,2.0876,1.8244,7.517E6,,
2,1.137E5,0.3348,143.03975,143.03986,1,0.3175,0.3775,143.0398,6.613E5,4.463E6,4.463E6,,DETECTED,1.137E5,0.3348,143.03975,143.03986,1,0.0016,0.0218,0.3175,0.3775,143.0398,6.613E5,4.463E6,2.1539,1.741,4.463E6,,
3,4.628E5,0.3348,158.00307,158.0033,2,0.0028,0.4124,158.00315,5.106E5,1.08E7,1.08E7,,DETECTED,4.628E5,0.3348,158.00307,158.0033,2,-0.0047,0.0197,0.0028,0.4124,158.00315,5.106E5,1.08E7,0.1286,0.6236,1.08E7,,
4,7.232E5,0.3517,125.98647,125.9866,9,0.0028,0.386,125.98654,1.083E6,6.064E6,6.064E6,,DETECTED,7.232E5,0.3517,125.98647,125.9866,9,-0.3329,0.0263,0.0028,0.386,125.98654,1.083E6,6.064E6,0.0985,0.5492,6.064E6,,
5,7.358E5,0.3517,185.98351,185.98373,1,0.0028,0.386,185.98361,1.278E6,5.772E6,5.772E6,,DETECTED,7.358E5,0.3517,185.98351,185.98373,1,0.0061,0.0279,0.0028,0.386,185.98361,1.278E6,5.772E6,0.0985,0.5492,5.772E6,,
6,2.75E5,0.3517,251.9294,251.92993,4,0.0028,0.3775,251.92961,5.938E5,1.693E6,1.693E6,,DETECTED,2.75E5,0.3517,251.9294,251.92993,4,-0.2198,0.3518,0.0028,0.3775,251.92961,5.938E5,1.693E6,0.0741,0.537,1.693E6,,
7,2.444E5,0.3517,279.92416,279.92447,0,0.0028,0.3775,279.92437,5.3E5,1.576E6,1.576E6,,DETECTED,2.444E5,0.3517,279.92416,279.92447,,,0.2433,0.0028,0.3775,279.92437,5.3E5,1.576E6,0.0741,0.537,1.576E6,,
8,8.167E4,0.4565,186.95654,186.95662,2,0.386,0.4823,186.95658,5.924E5,1.172E6,1.172E6,,DETECTED,8.167E4,0.4565,186.95654,186.95662,2,-0.0291,0.0973,0.386,0.4823,186.95658,5.924E5,1.172E6,0.3646,0.6823,1.172E6,,
9,8.994E4,0.4565,224.89897,224.89914,2,0.386,0.4738,224.89908,5.167E5,1.617E6,1.617E6,,DETECTED,8.994E4,0.4565,224.89897,224.89914,2,-0.0379,0.0629,0.386,0.4738,224.89908,5.167E5,1.617E6,0.2451,0.6225,1.617E6,,
10,3.158E5,0.4823,128.951,128.95113,7,0.4124,0.6985,128.95105,7.673E5,1.623E6,1.623E6,,DETECTED,3.158E5,0.4823,128.951,128.95113,7,-0.0505,0.2658,0.4124,0.6985,128.95105,7.673E5,1.623E6,3.0981,2.0491,1.623E6,,
11,1.272E5,0.4823,166.01845,166.01857,0,0.4565,0.5769,166.01852,5.102E5,1.662E6,1.662E6,,DETECTED,1.272E5,0.4823,166.01845,166.01857,,,0.0873,0.4565,0.5769,166.01852,5.102E5,1.662E6,3.6789,2.3395,1.662E6,,
12,1.411E6,0.4823,168.01338,168.01384,4,0.4565,0.655,168.01375,5.406E5,1.607E7,1.607E7,,DETECTED,1.411E6,0.4823,168.01338,168.01384,4,-0.012,0.0877,0.4565,0.655,168.01375,5.406E5,1.607E7,5.2425,3.5068,1.607E7,,
13,5.449E5,0.4823,172.97726,172.97739,4,0.4565,0.655,172.97731,5.247E5,5.982E6,5.982E6,,DETECTED,5.449E5,0.4823,172.97726,172.97739,4,-0.0109,0.0922,0.4565,0.655,172.97731,5.247E5,5.982E6,6.0479,4.1983,5.982E6,,
