id,area,rt,mz_range:min,mz_range:max,fragment_scans,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,charge,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:feature_state,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:area,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:rt,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:mz_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:mz_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:fragment_scans,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:fwhm,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:rt_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:rt_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:mz,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:intensity_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:intensity_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:tailing_factor,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:height,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:charge,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:isotopes
1,1.986E5,0.3374,130.00815,130.00824,2,0.3205,0.388,130.00818,6.188E5,8.082E6,8.082E6,,DETECTED,1.986E5,0.3374,130.00815,130.00824,2,-0.0034,0.0214,0.3205,0.388,130.00818,6.188E5,8.082E6,2.0689,1.9216,8.082E6,,
2,1.245E5,0.3374,143.03973,143.03981,1,0.3205,0.3796,143.03976,6.752E5,5.011E6,5.011E6,,DETECTED,1.245E5,0.3374,143.03973,143.03981,1,-0.0022,0.0223,0.3205,0.3796,143.03976,6.752E5,5.011E6,2.1727,1.746,5.011E6,,
3,4.726E5,0.3374,158.00299,158.0032,2,0.0026,0.388,158.0031,5.905E5,1.018E7,1.018E7,,DETECTED,4.726E5,0.3374,158.00299,158.0032,2,-0.0045,0.0217,0.0026,0.388,158.0031,5.905E5,1.018E7,0.2731,0.6338,1.018E7,,
4,8.686E5,0.3541,125.98638,125.98653,9,0.0026,0.388,125.98649,1.409E6,7.075E6,7.075E6,,DETECTED,8.686E5,0.3541,125.98638,125.98653,9,-0.3358,0.3684,0.0026,0.388,125.98649,1.409E6,7.075E6,0.0962,0.5481,7.075E6,,
5,2.943E5,0.3541,251.92932,251.92975,0,0.0026,0.3796,251.92951,5.93E5,1.784E6,1.784E6,,DETECTED,2.943E5,0.3541,251.92932,251.92975,,,0.3098,0.0026,0.3796,251.92951,5.93E5,1.784E6,0.0723,0.5362,1.784E6,,
6,6.761E4,0.3796,288.91925,288.92181,0,0.3374,0.4052,288.92083,6.6E5,1.997E6,1.997E6,,DETECTED,6.761E4,0.3796,288.91925,288.92181,,,0.0391,0.3374,0.4052,288.92083,6.6E5,1.997E6,0.609,0.8045,1.997E6,,
7,1.072E5,0.4137,217.95965,217.95982,2,0.388,0.4653,217.95973,7.772E5,2.486E6,2.486E6,,DETECTED,1.072E5,0.4137,217.95965,217.95982,2,-0.0035,0.0975,0.388,0.4653,217.95973,7.772E5,2.486E6,2.0019,1.5009,2.486E6,,
8,1.127E5,0.4137,236.9386,236.93886,1,0.388,0.4906,236.93872,5.605E5,2.089E6,2.089E6,,DETECTED,1.127E5,0.4137,236.9386,236.93886,1,0.0016,0.0561,0.388,0.4906,236.93872,5.605E5,2.089E6,2.9836,1.9918,2.089E6,,
9,1.248E5,0.4223,138.98622,138.98631,0,0.3205,0.4738,138.98626,5.031E5,1.214E6,1.214E6,,DETECTED,1.248E5,0.4223,138.98622,138.98631,,,0.1168,0.3205,0.4738,138.98626,5.031E5,1.214E6,0.5066,0.7533,1.214E6,,
10,1.456E6,0.4223,139.98232,139.98254,7,0.3205,0.5076,139.98245,3.264E6,1.198E7,1.198E7,,DETECTED,1.456E6,0.4223,139.98232,139.98254,7,-0.0956,0.078,0.3205,0.5076,139.98245,3.264E6,1.198E7,0.8387,0.9193,1.198E7,,
11,8.25E5,0.4822,172.97717,172.97729,4,0.4567,0.6777,172.97722,5.553E5,7.707E6,7.707E6,,DETECTED,8.25E5,0.4822,172.97717,172.97729,4,-0.0107,0.0959,0.4567,0.6777,172.97722,5.553E5,7.707E6,6.3619,4.4993,7.707E6,,
12,5.372E5,0.4822,196.00848,196.00861,4,0.4567,0.6352,196.00853,5.839E5,5.629E6,5.629E6,,DETECTED,5.372E5,0.4822,196.00848,196.00861,4,-0.0034,0.0915,0.4567,0.6352,196.00853,5.839E5,5.629E6,5.6921,3.5013,5.629E6,,
13,3.411E5,0.4906,214.00351,214.00365,3,0.4567,0.6266,214.00356,5.414E5,3.573E6,3.573E6,,DETECTED,3.411E5,0.4906,214.00351,214.00365,3,-0.0057,0.0907,0.4567,0.6266,214.00356,5.414E5,3.573E6,4.1337,2.5055,3.573E6,,
14,1.58E6,0.4991,168.01329,168.01373,4,0.4567,0.6692,168.01367,5.325E5,1.536E7,1.536E7,,DETECTED,1.58E6,0.4991,168.01329,168.01373,4,-0.0287,0.1181,0.4567,0.6692,168.01367,5.325E5,1.536E7,2.9613,2.1749,1.536E7,,
15,5.374E4,0.4991,180.03401,180.03416,0,0.4653,0.5414,180.03407,5.092E5,1.085E6,1.085E6,,DETECTED,5.374E4,0.4991,180.03401,180.03416,,,0.0588,0.4653,0.5414,180.03407,5.092E5,1.085E6,1.2548,1.1274,1.085E6,,
16,6.285E5,0.4991,182.02922,182.0293,3,0.4567,0.5925,182.02924,5.336E5,1.025E7,1.025E7,,DETECTED,6.285E5,0.4991,182.02922,182.0293,3,-0.0214,0.0617,0.4567,0.5925,182.02924,5.336E5,1.025E7,2.2485,1.8115,1.025E7,,
17,1.154E5,0.584,238.91441,238.91461,1,0.4991,0.6437,238.91452,5.247E5,1.104E6,1.104E6,,DETECTED,1.154E5,0.584,238.91441,238.91461,1,-0.0291,0.1261,0.4991,0.6437,238.91452,5.247E5,1.104E6,0.7034,0.8517,1.104E6,,
18,1.09E6,0.6522,176.97205,176.97223,19,0.5076,1.332,176.97213,5.717E5,1.74E6,1.74E6,,DETECTED,1.09E6,0.6522,176.97205,176.97223,19,-0.1058,0.7608,0.5076,1.332,176.97213,5.717E5,1.74E6,4.7009,2.8505,1.74E6,,
19,1.106E6,0.6607,186.95633,186.95653,18,0.5161,1.332,186.95645,5.404E5,1.739E6,1.739E6,,DETECTED,1.106E6,0.6607,186.95633,186.95653,18,-0.0877,0.7753,0.5161,1.332,186.95645,5.404E5,1.739E6,4.6397,2.8199,1.739E6,,
20,9.151E4,0.6692,141.97903,141.9792,0,0.584,0.7119,141.97909,5.003E5,1.039E6,1.039E6,,DETECTED,9.151E4,0.6692,141.97903,141.9792,,,0.098,0.584,0.7119,141.97909,5.003E5,1.039E6,0.5006,0.7503,1.039E6,,
21,1.926E5,0.6862,138.98619,138.98633,0,0.5755,0.7893,138.98625,6.069E5,1.252E6,1.252E6,,DETECTED,1.926E5,0.6862,138.98619,138.98633,,,0.2092,0.5755,0.7893,138.98625,6.069E5,1.252E6,0.9307,0.9653,1.252E6,,
