id,area,rt,mz_range:min,mz_range:max,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,fragment_scans,charge,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:feature_state,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:area,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:rt,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:mz_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:mz_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:fwhm,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:rt_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:rt_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:mz,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:intensity_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:intensity_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:tailing_factor,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:height,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:fragment_scans,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:charge,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:isotopes
1,3.835E5,0.1831,138.98619,138.98634,0.0027,0.3708,138.98626,5.739E5,1.525E6,1.525E6,0,,DETECTED,3.835E5,0.1831,138.98619,138.98634,0.2474,0.0027,0.3708,138.98626,5.739E5,1.525E6,1.0406,1.0203,1.525E6,,,,
2,3.112E5,0.1831,141.97905,141.97931,0.0027,0.3708,141.97913,5.206E5,1.32E6,1.32E6,0,,DETECTED,3.112E5,0.1831,141.97905,141.97931,0.1678,0.0027,0.3708,141.97913,5.206E5,1.32E6,1.0406,1.0203,1.32E6,,,,
3,2.648E5,0.1831,167.97723,167.97754,0.0027,0.3622,167.97737,5.208E5,1.113E6,1.113E6,0,,DETECTED,2.648E5,0.1831,167.97723,167.97754,0.3391,0.0027,0.3622,167.97737,5.208E5,1.113E6,0.993,0.9965,1.113E6,,,,
4,2.177E5,0.3372,130.00813,130.00833,0.2945,0.3962,130.00822,5.097E5,7.48E6,7.48E6,1,,DETECTED,2.177E5,0.3372,130.00813,130.00833,0.0224,0.2945,0.3962,130.00822,5.097E5,7.48E6,0.4636,1.081,7.48E6,1,-0.0034,,
5,1.227E5,0.3372,143.0397,143.03987,0.3202,0.3793,143.0398,6.842E5,4.509E6,4.509E6,1,,DETECTED,1.227E5,0.3372,143.0397,143.03987,0.0246,0.3202,0.3793,143.0398,6.842E5,4.509E6,2.1816,1.7314,4.509E6,1,-0.0023,,
6,4.839E5,0.3372,158.00307,158.00328,0.0027,0.3877,158.00314,6.137E5,9.997E6,9.997E6,1,,DETECTED,4.839E5,0.3372,158.00307,158.00328,0.0219,0.0027,0.3877,158.00314,6.137E5,9.997E6,0.185,0.9056,9.997E6,1,-0.0045,,
7,8.674E5,0.3539,125.98647,125.98662,0.0027,0.3877,125.98652,1.385E6,6.921E6,6.921E6,9,,DETECTED,8.674E5,0.3539,125.98647,125.98662,0.0283,0.0027,0.3877,125.98652,1.385E6,6.921E6,0.0963,0.5482,6.921E6,9,-0.3355,,
8,1.98E5,0.3539,185.98354,185.98375,0.3372,0.3962,185.98361,5.514E5,8.471E6,8.471E6,1,,DETECTED,1.98E5,0.3539,185.98354,185.98375,0.0212,0.3372,0.3962,185.98361,5.514E5,8.471E6,1.5975,1.627,8.471E6,1,-0.0021,,
9,3.01E5,0.3539,251.92944,251.92982,0.0027,0.3793,251.92956,6.081E5,1.862E6,1.862E6,1,,DETECTED,3.01E5,0.3539,251.92944,251.92982,0.3497,0.0027,0.3793,251.92956,6.081E5,1.862E6,0.0724,0.5362,1.862E6,1,0.0134,,
10,2.684E5,0.3539,279.92416,279.92453,0.0027,0.3793,279.92433,5.515E5,1.628E6,1.628E6,0,,DETECTED,2.684E5,0.3539,279.92416,279.92453,0.1311,0.0027,0.3793,279.92433,5.515E5,1.628E6,0.0724,0.5362,1.628E6,,,,
