id,area,rt,mz_range:min,mz_range:max,fragment_scans,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,charge,datafile:20250402_PMA_tp24_solanum_qc_02.mzML:feature_state,datafile:20250402_PMA_tp24_solanum_qc_02.mzML:area,datafile:20250402_PMA_tp24_solanum_qc_02.mzML:rt,datafile:20250402_PMA_tp24_solanum_qc_02.mzML:mz_range:min,datafile:20250402_PMA_tp24_solanum_qc_02.mzML:mz_range:max,datafile:20250402_PMA_tp24_solanum_qc_02.mzML:fragment_scans,datafile:20250402_PMA_tp24_solanum_qc_02.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_solanum_qc_02.mzML:fwhm,datafile:20250402_PMA_tp24_solanum_qc_02.mzML:rt_range:min,datafile:20250402_PMA_tp24_solanum_qc_02.mzML:rt_range:max,datafile:20250402_PMA_tp24_solanum_qc_02.mzML:mz,datafile:20250402_PMA_tp24_solanum_qc_02.mzML:intensity_range:min,datafile:20250402_PMA_tp24_solanum_qc_02.mzML:intensity_range:max,datafile:20250402_PMA_tp24_solanum_qc_02.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_solanum_qc_02.mzML:tailing_factor,datafile:20250402_PMA_tp24_solanum_qc_02.mzML:height,datafile:20250402_PMA_tp24_solanum_qc_02.mzML:charge,datafile:20250402_PMA_tp24_solanum_qc_02.mzML:isotopes
1,1.616E5,0.3485,129.13881,129.13893,1,0.3235,0.4039,129.13888,5.078E5,6.074E6,6.074E6,,DETECTED,1.616E5,0.3485,129.13881,129.13893,1,-0.0018,0.0191,0.3235,0.4039,129.13888,5.078E5,6.074E6,2.4468,1.5241,6.074E6,,
2,9.515E5,0.3485,146.16533,146.1656,1,0.3235,0.396,146.16537,1.963E6,4.517E7,4.517E7,,DETECTED,9.515E5,0.3485,146.16533,146.1656,1,-0.0126,0.015,0.3235,0.396,146.16537,1.963E6,4.517E7,1.5259,1.2407,4.517E7,,
3,8.488E4,0.3485,160.18082,160.18109,0,0.3235,0.3801,160.18099,5.943E5,4.056E6,4.056E6,,DETECTED,8.488E4,0.3485,160.18082,160.18109,,,0.0155,0.3235,0.3801,160.18099,5.943E5,4.056E6,1.421,1.1306,4.056E6,,
4,1.371E5,0.3485,235.95206,235.95229,1,0.332,0.388,235.95216,9.699E5,7.067E6,7.067E6,,DETECTED,1.371E5,0.3485,235.95206,235.95229,1,-0.0029,0.0158,0.332,0.388,235.95216,9.699E5,7.067E6,20.841,1.6952,7.067E6,,
5,5.742E5,0.3643,130.01701,130.01718,0,0.3405,0.4039,130.01705,6.106E5,1.918E7,1.918E7,,DETECTED,5.742E5,0.3643,130.01701,130.01718,,,0.035,0.3405,0.4039,130.01705,6.106E5,1.918E7,1.1888,1.1473,1.918E7,,
6,8.827E4,0.3643,283.97629,283.97708,0,0.3405,0.396,283.97675,5.725E5,2.761E6,2.761E6,,DETECTED,8.827E4,0.3643,283.97629,283.97708,,,0.03,0.3405,0.396,283.97675,5.725E5,2.761E6,1.3332,1.1666,2.761E6,,
7,5.659E5,0.3643,286.95844,286.95859,1,0.3405,0.396,286.95853,3.025E6,1.768E7,1.768E7,,DETECTED,5.659E5,0.3643,286.95844,286.95859,1,0.0197,0.0421,0.3405,0.396,286.95853,3.025E6,1.768E7,1.0377,1.1666,1.768E7,,
8,9.922E4,0.3643,304.96924,304.96964,0,0.3405,0.396,304.96939,6.869E5,2.879E6,2.879E6,,DETECTED,9.922E4,0.3643,304.96924,304.96964,,,0.0354,0.3405,0.396,304.96939,6.869E5,2.879E6,1.3332,1.1666,2.879E6,,
9,2.392E5,0.3643,353.94693,353.94708,0,0.3405,0.396,353.94701,1.375E6,7.365E6,7.365E6,,DETECTED,2.392E5,0.3643,353.94693,353.94708,,,0.0326,0.3405,0.396,353.94701,1.375E6,7.365E6,1.0409,1.1666,7.365E6,,
10,2.09E5,0.3643,427.95053,427.95139,0,0.3405,0.396,427.951,6.207E5,6.661E6,6.661E6,,DETECTED,2.09E5,0.3643,427.95053,427.95139,,,0.047,0.3405,0.396,427.951,6.207E5,6.661E6,0.9961,1.0092,6.661E6,,
11,1.672E5,0.3643,469.91431,469.91629,0,0.3405,0.396,469.91462,5.526E5,5.399E6,5.399E6,,DETECTED,1.672E5,0.3643,469.91431,469.91629,,,0.288,0.3405,0.396,469.91462,5.526E5,5.399E6,1.0002,1.1666,5.399E6,,
