row ID,row m/z,row retention time,intensity_measure,ion_mobility,ion_mobility_unit,ccs,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20250402_PMA_tp24_000004_01_01.mzML Peak area,20250402_PMA_tp24_000008_01_01.mzML Peak area,20250402_PMA_tp24_000021_01_01.mzML Peak area,20250402_PMA_tp24_000022_01_01.mzML Peak area,20250402_PMA_tp24_000023_01_01.mzML Peak area,20250402_PMA_tp24_000024_03_01.mzML Peak area,20250402_PMA_tp24_000026_01_01.mzML Peak area,20250402_PMA_tp24_000027_01_01.mzML Peak area,20250402_PMA_tp24_000028_01_01.mzML Peak area,20250402_PMA_tp24_000029_01_01.mzML Peak area,20250402_PMA_tp24_000029_01_02.mzML Peak area,20250402_PMA_tp24_000031_01_01.mzML Peak area,20250402_PMA_tp24_000032_01_01.mzML Peak area,20250402_PMA_tp24_000033_01_01.mzML Peak area,20250402_PMA_tp24_000035_01_01.mzML Peak area,20250402_PMA_tp24_solanum_mapp_bk_post_00.mzML Peak area,20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML Peak area,20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML Peak area,20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML Peak area,20250402_PMA_tp24_solanum_qc_00.mzML Peak area,20250402_PMA_tp24_solanum_qc_01.mzML Peak area,20250402_PMA_tp24_solanum_qc_02.mzML Peak area,20250402_PMA_tp24_solanum_qc_03.mzML Peak area,20250402_PMA_tp24_solanum_qc_04.mzML Peak area,20250402_PMA_tp24_solanum_qc_05.mzML Peak area,Unnamed: 38
1,167.97740712293168,0.100052,height,,,,,,,,,,,764875.4,832730.25,779375.0,697007.2,726683.5,783259.0,857195.4,1086506.4,918090.1,819859.06,799706.56,821504.6,779077.2,820886.94,798551.5,744767.06,0.0,947008.4,1112699.6,816337.0,860226.0,747399.6,782424.2,799499.25,742480.5,
2,190.99323947058937,0.101442486,height,,,,,,,,,,,772029.25,798361.2,777406.4,680827.3,686009.9,936445.06,889153.94,1050372.6,900635.1,879384.25,805345.6,785537.0,816077.6,839117.5,778279.1,764645.94,737022.94,890912.7,1126170.0,848065.94,846510.6,743081.75,794546.75,811750.5,790348.44,
3,139.98250660095783,0.13647436,height,,,,,,,,,,,11027560.0,11132285.0,10979233.0,10425422.0,10318055.0,12998553.0,11308602.0,13576368.0,12076046.0,12726082.0,11412652.0,11190936.0,11584531.0,12036016.0,11510264.0,10078252.0,11370012.0,14046791.0,14722941.0,13192569.0,12948829.0,11333723.0,11049078.0,10954947.0,11146239.0,
4,137.98726504483503,0.17496115,height,,,,,,,,,,,1672284.1,1660795.2,1845460.1,1444493.0,1372278.1,1889415.5,1514174.5,1761276.9,1779576.1,1711163.5,1566526.1,1510903.5,1693951.6,1770558.2,1613716.4,1426356.1,1668851.1,1980049.6,2055263.6,1904975.2,1762735.8,1664722.4,1492856.9,1455556.6,1575435.8,
5,167.9774107270077,0.25756824,height,,,,,,,,,,,722854.5,847729.25,906557.1,765102.06,772764.3,959550.0,756205.56,841125.3,836786.56,804431.56,793590.44,870829.6,779077.2,896714.7,791964.56,812787.44,0.0,863166.3,988539.0,858995.25,837218.4,795738.8,824318.44,782137.06,815548.06,
6,190.99324857058303,0.25410601,height,,,,,,,,,,,685822.56,845361.9,934777.56,780928.2,752970.75,982610.56,711715.56,817221.25,930662.0,0.0,812085.8,854968.8,816077.6,883451.5,869552.6,861775.25,791381.5,944312.3,1025973.1,801483.06,888206.1,833636.25,844721.75,781580.44,866078.9,
7,217.9597570106185,0.25007373,height,,,,,,,,,,,1244323.9,1423203.4,1526384.4,1413977.2,1407592.4,1543540.4,1274437.2,1435923.0,1412205.2,1339605.6,1425977.4,1422946.4,1417024.2,1533287.0,1382066.8,1431323.5,0.0,1544321.8,1612013.5,1448805.1,1479832.0,1330230.8,1371674.9,1337426.4,1427996.8,
8,139.98250118788548,0.2691066,height,,,,,,,,,,,10474844.0,12021701.0,12733899.0,11254217.0,12046497.0,13265225.0,10123526.0,11715423.0,12758853.0,11467803.0,11174449.0,12327790.0,10534264.0,12501174.0,11859004.0,10985932.0,11227937.0,13362465.0,15833064.0,12234404.0,12648143.0,11493935.0,11944224.0,9722936.0,11074227.0,
9,137.9872946643891,0.30043107,height,,,,,,,,,,,1505707.8,1690015.9,1792605.6,1487529.1,1636904.6,1918954.9,1296695.9,1578468.1,1779576.1,1630238.9,1410457.1,11397314.0,16424566.0,13542477.0,1552148.6,1665213.8,1498981.1,1980049.6,1906324.6,1872509.9,1768356.9,1617066.0,1517628.4,1399304.9,1575435.8,
10,130.00822149543032,0.32312015,height,,,,,,,,,,,0.0,564663.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5910031.5,6099346.0,8081982.5,6483244.5,570063.94,0.0,0.0,0.0,0.0,0.0,
