#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
4531	spectra_filtered.mgf	*..*		:9369	9815	-1	0	205.195	1	0.996278	0	0	3462530.0	1085320.0	farnesol CollisionEnergy:102040 M+H-H2O	BERKELEY-LAB	temp/spectra_filtered.mgf4531	-1	BERKELEY-LAB.mgf	1.7847				8	0	0.000366211	205.195	0	CCMSLIB00010111803
1473	spectra_filtered.mgf	*..*		:4584	814	-1	0	177.054	1	0.993066	0	0	17577700.0	8422900.0	Spectral Match to 3-Hydroxy-4-methoxycinnamic acid from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf1473	-1	GNPS-NIST14-MATCHES.mgf	6.03271				6	0	0.00106812	177.055	0	CCMSLIB00003135300
996	spectra_filtered.mgf	*..*		:4584	814	-1	0	177.054	1	0.99214	0	0	17577700.0	7359170.0	Spectral Match to 3-Hydroxy-4-methoxycinnamic acid from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf996	-1	GNPS-NIST14-MATCHES.mgf	3.96435				6	0	0.000701904	177.055	0	CCMSLIB00003135300
1287	spectra_filtered.mgf	*..*		:4584	814	-1	0	177.054	1	0.991734	0	0	17577700.0	2581120.0	Spectral Match to 3-Hydroxy-4-methoxycinnamic acid from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf1287	-1	GNPS-NIST14-MATCHES.mgf	5.42944				6	0	0.000961304	177.055	0	CCMSLIB00003135300
1624	spectra_filtered.mgf	*..*		:4584	814	-1	0	177.054	1	0.991434	0	0	17577700.0	6287210.0	Spectral Match to 3-Hydroxy-4-methoxycinnamic acid from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf1624	-1	GNPS-NIST14-MATCHES.mgf	5.51562				6	0	0.000976562	177.055	0	CCMSLIB00003135300
135	spectra_filtered.mgf	*..*		:971	50211	-1	0	258.11	1	0.989002	0	0	130.4	107987000.0	SN-GLYCERO-3-PHOSPHOCHOLINE M+H	MONA	temp/spectra_filtered.mgf135	-1	MONA.mgf	0.945878				7	0	0.000244141	258.11	0	CCMSLIB00006679241
3455	spectra_filtered.mgf	*..*		:4454	5267	-1	0	177.164	0	0.988478	0	0	2336430.0	391893.0	Spectral Match to 2-Butanone, 4-(2,6,6-trimethyl-2-cyclohexen-1-yl)- from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf3455	-1	GNPS-NIST14-MATCHES.mgf	6.11509				8	0	0.00108337	177.163	0	CCMSLIB00003139754
954	spectra_filtered.mgf	*..*		:341	5139	-1	0	229.118	1	0.988454	0	0	7119130.0	1968110.0	Spectral Match to PyroGlu-Val from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf954	-1	GNPS-NIST14-MATCHES.mgf	160.434				11	0	0.0367584	229.155	0	CCMSLIB00003139626
3453	spectra_filtered.mgf	*..*		:4454	5267	-1	0	177.164	1	0.987404	0	0	2336430.0	430900.0	Spectral Match to 2-Butanone, 4-(2,6,6-trimethyl-2-cyclohexen-1-yl)- from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf3453	-1	GNPS-NIST14-MATCHES.mgf	1.29192				8	0	0.000228882	177.164	0	CCMSLIB00003139754
972	spectra_filtered.mgf	*..*		:9865	9865	-1	0	205.0	1	0.98665	0	0	58861400.0	34829600.0	Massbank:KO004073 Trp|Tryptophan|L-Tryptophan|(S)-alpha-Amino-beta-(3-indolyl)-propionic acid [M+H]+	MASSBANK	temp/spectra_filtered.mgf972	-1	MASSBANK.mgf	474.065				6	0	0.0971832	205.097	0	CCMSLIB00000220666
1666	spectra_filtered.mgf	*..*		:1186	19649	-1	0	314.139	1	0.985573	0	0	181.126	5291690.0	feruloyltyramine [M+H]+	MONA	temp/spectra_filtered.mgf1666	-1	MONA.mgf	0.0				10	0	0.0	314.139	0	CCMSLIB00004692249
5561	spectra_filtered.mgf	*..*		:2524	4308	-1	0	758.569	1	0.985255	0	0	8794860.0	3980810.0	Spectral Match to 1-Hexadecanoyl-2-octadecadienoyl-sn-glycero-3-phosphocholine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf5561	-1	GNPS-NIST14-MATCHES.mgf	1.36784				9	0	0.0010376	758.57	0	CCMSLIB00003138795
1056	spectra_filtered.mgf	*..*		:413	5093	-1	0	231.17	1	0.982414	0	0	2154800.0	5838870.0	Spectral Match to Val-Leu from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf1056	-1	GNPS-NIST14-MATCHES.mgf	2.57426				6	0	0.000595093	231.171	0	CCMSLIB00003139580
313	spectra_filtered.mgf	*..*		:38	692	-1	0	308.091	1	0.98225	0	0	2982180.0	2356260.0	GLUTATHIONE REDUCED M+H	GNPS-MSMLS	temp/spectra_filtered.mgf313	-1	GNPS-MSMLS.mgf	0.891484				14	0	0.000274658	308.091	0	CCMSLIB00005464443
2534	spectra_filtered.mgf	*..*		:1186	19649	-1	0	314.139	1	0.981636	0	0	181.126	11611500.0	feruloyltyramine [M+H]+	MONA	temp/spectra_filtered.mgf2534	-1	MONA.mgf	0.0971467				10	0	3.05176e-05	314.139	0	CCMSLIB00004692249
512	spectra_filtered.mgf	*..*		:1016	124	-1	0	284.1	1	0.981339	0	0	3790770.0	8918020.0	GUANOSINE M+H	GNPS-EMBL-MCF	temp/spectra_filtered.mgf512	-1	GNPS-EMBL-MCF.mgf	3.32997				6	0	0.000946045	284.099	0	CCMSLIB00000577906
896	spectra_filtered.mgf	*..*		:1897	10192	-1	0	232.154	1	0.980804	0	0	435875.0	2922230.0	Butyrylcarnitine - 30.00 eV M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf896	-1	GNPS-LIBRARY.mgf	2.56335				7	0	0.000595093	232.155	0	CCMSLIB00005885050
1890	spectra_filtered.mgf	*..*		:10599	7856	-1	0	240.123	1	0.980383	0	0	3034800.0	2208090.0	NCGC00380601-01!N-[1-(4-methoxy-6-oxopyran-2-yl)-2-methylpropyl]acetamide [IIN-based: Match] [M+H]+	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE	temp/spectra_filtered.mgf1890	-1	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE.mgf	1.46155				12	0	0.000350952	240.123	0	CCMSLIB00005723152
943	spectra_filtered.mgf	*..*		:341	5139	-1	0	229.118	1	0.979809	0	0	7119130.0	1536410.0	Spectral Match to PyroGlu-Val from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf943	-1	GNPS-NIST14-MATCHES.mgf	2.66392				11	0	0.000610352	229.119	0	CCMSLIB00003139626
2362	spectra_filtered.mgf	*..*		:1186	19649	-1	0	314.139	1	0.979742	0	0	181.126	5706430.0	feruloyltyramine [M+H]+	MONA	temp/spectra_filtered.mgf2362	-1	MONA.mgf	0.0971467				9	0	3.05176e-05	314.139	0	CCMSLIB00004692249
1128	spectra_filtered.mgf	*..*		:94927	94923	-1	0	450.197	1	0.97967	0	0	465.242	4190120.0	Benzyl gentiobioside [M+NH4]+	MSNLIB-POSITIVE	temp/spectra_filtered.mgf1128	-1	MSNLIB-POSITIVE.mgf	0.677872				17	0	0.000305176	450.197	0	CCMSLIB00012446179
5917	spectra_filtered.mgf	*..*		:2483	2100	-1	0	732.553	1	0.978272	0	0	127845000.0	1750900.0	Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf5917	-1	GNPS-NIST14-MATCHES.mgf	90.7338				7	0	0.0664673	732.487	0	CCMSLIB00003136587
