cluster index	parent mass	RTMean	ATTRIBUTE_condition:GNPSGROUP:trich	ATTRIBUTE_condition:GNPSGROUP:control	ATTRIBUTE_condition:GNPSGROUP:nan	ATTRIBUTE_condition_detailed:GNPSGROUP:trich_1	ATTRIBUTE_condition_detailed:GNPSGROUP:control	ATTRIBUTE_condition_detailed:GNPSGROUP:trich_2	ATTRIBUTE_condition_detailed:GNPSGROUP:nan
1	167.97740712293168	0.100052	831077.0075000001	803805.8275		844442.965	803805.8275	817711.05	
2	190.99323947058937	0.101442486	820331.59875	847899.2275		828439.3375	847899.2275	812223.86	
3	139.98250660095783	0.13647436	11456871.125	11959038.25		11583658.75	11959038.25	11330083.5	
4	137.98726504483503	0.17496115	1590540.65	1776708.575		1593091.2999999998	1776708.575	1587990.0	
5	167.9774107270077	0.25756824	785049.16	879566.9775		782583.635	879566.9775	787514.685	
6	190.99324857058303	0.25410601	795119.8400000001	690687.505		767025.0900000001	690687.505	823214.59	
7	217.9597570106185	0.25007373	1374562.8875	1458183.4499999997		1378454.1749999998	1458183.4499999997	1370671.5999999999	
8	139.98250118788548	0.2691066	11425851.625	12372157.0		11352803.25	12372157.0	11498900.0	
9	137.9872946643891	0.30043107	1530935.9125	1757953.8250000002		1532884.4	1757953.8250000002	1528987.4249999998	
10	130.00822149543032	0.32312015	0.0	141165.775		0.0	141165.775	0.0	
11	148.01874020743776	0.33872032	0.0	0.0		0.0	0.0	0.0	
12	158.00316712201206	0.29442346	574031.37625	718571.31		503195.3275	718571.31	644867.425	
13	143.0397997729898	0.34294215	0.0	0.0		0.0	0.0	0.0	
14	235.9521423829445	0.3456031	6345746.4375	5884753.375		6641188.625	5884753.375	6050304.25	
15	146.16535065221106	0.34812886	60202874.0	64133296.5		60684824.0	64133296.5	59720924.0	
16	160.1809757345032	0.34941152	5127938.2375	4174881.35		5179363.1	4174881.35	5076513.375	
17	267.901893804041	0.29907835	1504215.875	1552843.925		1516374.275	1552843.925	1492057.4749999999	
18	295.8967527789791	0.30249953	783379.61375	842728.425		788658.4500000001	842728.425	778100.7775	
19	129.1388756765859	0.35064936	8651307.75	9298474.5		8662281.75	9298474.5	8640333.75	
20	251.92961754622212	0.32003132	917507.0650000001	841237.4750000001		841682.65	841237.4750000001	993331.4800000001	
21	185.9836129275416	0.31304404	1294277.6275	985465.89		1324162.24	985465.89	1264393.0150000001	
22	505.7491701973128	0.3575653	0.0	0.0		0.0	0.0	0.0	
23	128.95103847130295	0.2951879	1156636.4575	1372131.7750000001		1171027.6400000001	1372131.7750000001	1142245.275	
24	139.96337861444024	0.3575653	0.0	0.0		0.0	0.0	0.0	
25	154.9904483681314	0.31765395	2407155.4875	2680662.25		2443959.55	2680662.25	2370351.425	
26	169.97759334217903	0.3021149	2246504.5625	2446768.25		2204096.5	2446768.25	2288912.625	
27	180.9900588374224	0.31104255	363482.08125	607058.485		299117.0	607058.485	427847.1625	
28	182.98540134212777	0.31112695	9010583.625	9735870.5		9076033.75	9735870.5	8945133.5	
29	255.93895962922656	0.3639192	0.0	0.0		0.0	0.0	0.0	
30	273.94962261301765	0.3575653	0.0	0.0		0.0	0.0	0.0	
31	287.8887136968749	0.3575653	0.0	0.0		0.0	0.0	0.0	
32	326.9200949602362	0.3575653	0.0	0.0		0.0	0.0	0.0	
33	328.915252307676	0.3575653	0.0	0.0		0.0	0.0	0.0	
34	359.8185501694172	0.3575653	0.0	0.0		0.0	0.0	0.0	
35	264.872933285333	0.3575653	0.0	0.0		0.0	0.0	0.0	
36	285.89350390064266	0.3575653	0.0	0.0		0.0	0.0	0.0	
37	300.92058261068536	0.3575653	0.0	0.0		0.0	0.0	0.0	
38	305.8995815205471	0.3575653	0.0	0.0		0.0	0.0	0.0	
39	404.8160844943512	0.36019862	0.0	0.0		0.0	0.0	0.0	
40	141.95881206129533	0.32345635	2855883.4125	3026224.875		2855930.4000000004	3026224.875	2855836.425	
41	296.9657099838288	0.36584446	0.0	0.0		0.0	0.0	0.0	
42	130.966651305545	0.31566316	1116509.15	954374.725		1111866.8	954374.725	1121151.5	
43	158.96158600212195	0.3241106	9258864.5625	10840920.75		9279932.375	10840920.75	9237796.75	
44	176.97217218559865	0.32157448	1299845.9125	1496731.375		1299319.975	1496731.375	1300371.85	
45	186.95649296939504	0.31556034	1266596.475	1507450.1500000001		1281750.625	1507450.1500000001	1251442.325	
46	199.9880619273096	0.3117775	6307813.5	7348681.375		6406432.75	7348681.375	6209194.25	
47	276.89688313579813	0.31098405	449218.10375	641770.0475		449477.2225	641770.0475	448958.985	
48	304.89234598666303	0.3710844	0.0	0.0		0.0	0.0	0.0	
49	151.0354284430505	0.36553687	1044822337.5	1129665090.0		1106783625.0	1129665090.0	982861050.0	
50	171.99309147034455	0.31199762	3322692.975	3649528.2249999996		3123314.575	3649528.2249999996	3522071.375	
51	125.9865075280784	0.36585212	84781109.75	74515628.0		79514656.0	74515628.0	90047563.5	
52	167.0130054745678	0.36585212	103941711.5	92509216.5		95980067.0	92509216.5	111903356.0	
