CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
6425	6440	2	0.7568	-32.837
6425	6452	2	0.7453	-32.835
6335	6336	2	0.8235	-0.003
5869	5876	2	0.9213	-0.004
5873	5876	2	0.9358	-0.001
5876	6314	2	0.8601	-74.019
5876	6320	2	0.8622	-74.016
5876	6670	2	0.8579	-148.033
5876	6920	2	0.834	-222.052
5869	6320	2	0.8782	-74.020
5873	6320	2	0.845	-74.016
6314	6320	2	0.9705	0.003
6320	6335	2	0.7227	-1.079
6320	6670	2	0.9178	-74.018
6320	6920	2	0.8972	-148.036
6314	6335	2	0.7023	-1.076
6335	6670	2	0.7321	-72.939
5869	5873	2	0.9123	-0.003
5869	6314	2	0.8917	-74.023
5869	6670	2	0.8098	-148.037
5869	6920	2	0.8121	-222.056
5873	6314	2	0.8396	-74.020
6314	6670	2	0.9093	-74.014
6314	6920	2	0.9056	-148.033
6440	6696	2	0.7282	-148.034
6452	6696	2	0.7427	-148.037
6603	6696	2	0.9545	0.000
6696	6920	2	0.7595	-18.010
5873	6920	2	0.8456	-222.053
6440	6920	2	0.7046	-166.045
6452	6920	2	0.7159	-166.047
6603	6920	2	0.7714	-18.010
6670	6920	2	0.9278	-74.019
6419	6440	2	0.7905	1.207
6440	6452	2	0.9608	0.002
6440	6603	2	0.7282	-148.035
6419	6420	2	0.7729	-1.115
6419	6421	2	0.7938	-1.112
6419	6452	2	0.7825	1.209
6420	6421	2	0.9359	0.003
5873	6670	2	0.8347	-148.034
6452	6603	2	0.7416	-148.037
886	910	3	0.9559	-0.041
910	1037	3	0.9973	0.000
910	1148	3	0.8962	0.000
910	1259	3	0.9887	0.000
910	1315	3	0.8917	0.000
1116	2371	3	0.8253	-25.979
1120	2371	3	0.8234	-26.015
1148	2371	3	0.8668	-26.015
1315	2371	3	0.8716	-26.015
1618	2900	3	0.8049	-18.011
1618	3416	3	0.8337	-18.011
1618	3419	3	0.835	-18.009
444	647	3	0.8948	-0.089
542	647	3	0.8869	-0.088
647	699	3	0.9351	0.088
886	3137	3	0.9239	-0.000
1259	3137	3	0.9139	0.041
3010	3137	3	0.9446	-0.001
1533	2231	3	0.9897	0.000
2231	3922	3	0.9706	-0.000
3606	4033	3	0.9851	-0.001
3669	4033	3	0.9888	-0.001
3678	4033	3	0.9783	-0.000
3741	4033	3	0.9762	0.000
3890	4033	3	0.9785	0.000
3922	4033	3	0.9735	-0.000
3973	4033	3	0.9888	-0.000
4033	4078	3	0.9787	0.000
3606	3678	3	0.9825	-0.000
