CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
3055	3089	0.000	0.000	0.8329	0.8509	1
3055	3096	0.001	0.000	0.9346	0.8819	1
3055	3127	-0.171	0.000	0.8588	0.8553	1
3055	3129	-0.170	0.000	0.8470	0.8683	1
3055	3163	51.011	0.000	0.7040	0.4867	1
3055	3164	0.000	0.000	0.9181	0.8436	1
3055	3209	51.011	0.000	0.7188	0.4867	1
3055	3210	0.000	0.000	0.8323	0.8601	1
3055	3248	0.001	0.000	0.9788	0.9159	1
3055	3341	0.000	0.000	0.9610	0.8678	1
3055	3398	-0.000	0.000	0.9649	0.8700	1
3055	3446	0.000	0.000	0.9589	0.8423	1
3055	3451	51.011	0.000	0.7099	0.4867	1
3055	3537	0.000	0.000	0.9589	0.8476	1
3055	3601	-0.000	0.000	0.9419	0.8231	1
3055	3669	27.996	0.000	0.7085	0.4941	1
3055	3670	0.001	0.000	0.9467	0.8476	1
3055	3671	-0.000	0.000	0.9355	0.7866	1
3055	3678	27.994	0.000	0.7087	0.4941	1
3055	3679	-0.000	0.000	0.9328	0.7897	1
3055	3733	-0.001	0.000	0.9362	0.8106	1
3055	3769	-0.001	0.000	0.9479	0.8637	1
3055	3824	-0.001	0.000	0.9396	0.8257	1
3055	3845	-0.001	0.000	0.9426	0.8623	1
3055	3922	27.994	0.000	0.7142	0.4941	1
3055	3924	-0.001	0.000	0.9382	0.8264	1
3055	3972	-0.001	0.000	0.9297	0.7802	1
3055	3973	27.994	0.000	0.7101	0.4941	1
3055	4033	27.994	0.000	0.7036	0.4941	1
3055	4088	-0.001	0.000	0.9332	0.8062	1
3055	4129	-0.000	0.000	0.9226	0.8161	1
3055	4207	27.995	0.000	0.7634	0.6462	1
3055	4208	-0.000	0.000	0.9338	0.8328	1
3055	4237	-0.000	0.000	0.9183	0.8265	1
3055	4282	-0.000	0.000	0.9313	0.8652	1
3055	4366	-0.000	0.000	0.8988	0.8162	1
3055	4449	-0.000	0.000	0.8889	0.8132	1
3057	3134	-2.016	0.000	0.8074	0.7504	1
3057	3155	18.011	0.000	0.7552	0.6033	1
3057	3229	-12.037	0.000	0.7359	0.6183	1
3057	3253	15.994	0.000	0.8411	0.7676	1
3058	3137	0.000	0.000	0.9064	0.7718	1
3058	3202	0.000	0.000	0.9353	0.8536	1
3058	3232	0.000	0.000	0.8996	0.7631	1
3058	3323	-0.000	0.000	0.8111	0.7378	1
3058	3385	-0.000	0.000	0.9217	0.7784	1
3058	3416	-18.124	0.000	0.7242	0.6736	1
3058	3419	-18.123	0.000	0.7221	0.6612	1
3058	3448	0.000	0.000	0.9107	0.7921	1
3058	3606	-0.000	0.000	0.8906	0.7126	1
3058	3669	0.001	0.000	0.8887	0.7092	1
3058	3670	-27.994	0.000	0.7454	0.5055	1
3058	3741	-0.001	0.000	0.8995	0.7465	1
3058	3823	-0.001	0.000	0.9604	0.8789	1
3058	3824	-27.996	0.000	0.7090	0.4670	1
3058	3890	-0.001	0.000	0.8934	0.7346	1
