CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
2038	2043	-30.010	0.000	0.7320	0.6182	1
2038	2063	-0.067	0.000	0.7032	0.5547	1
2038	2110	0.000	0.000	0.9369	0.8791	1
2038	2492	-44.026	0.000	0.7180	0.5596	1
2040	2496	-44.026	0.000	0.7247	0.5430	1
2041	2277	-0.000	0.000	0.9933	1.0000	1
2041	2481	-0.000	0.000	0.9669	0.9268	1
2041	2624	0.000	0.000	0.9081	0.8556	1
2041	2669	0.000	0.000	0.9348	0.9376	1
2041	2715	0.000	0.000	0.9778	0.9492	1
2041	2860	-41.026	0.000	0.7068	0.5424	1
2041	2881	-0.000	0.000	0.9124	0.9376	1
2041	2883	-41.027	0.000	0.7125	0.5417	1
2041	3041	-41.027	0.000	0.7416	0.5776	1
2041	3077	-0.000	0.000	0.8741	0.8020	1
2041	3107	-0.000	0.000	0.9623	0.9462	1
2041	3201	0.000	0.000	0.8981	0.9376	1
2041	3226	-0.000	0.000	0.8944	0.9433	1
2041	3239	-41.027	0.000	0.7219	0.5505	1
2041	3244	-0.154	0.000	0.7814	0.8202	1
2041	3249	-41.025	0.000	0.7335	0.5619	1
2041	3778	-0.001	0.000	0.7873	0.7427	1
2041	3858	-0.001	0.000	0.7141	0.7304	1
2041	3957	-0.001	0.000	0.8120	0.7625	1
2041	4073	-0.001	0.000	0.7232	0.7457	1
2041	4265	-0.000	0.000	0.7087	0.6720	1
2043	2087	32.026	0.000	0.7182	0.6669	1
2043	2110	30.010	0.000	0.7849	0.6301	1
2043	2492	-14.016	0.000	0.8052	0.7037	1
2044	2068	-0.046	0.000	0.9050	0.8660	1
2044	2444	-0.046	0.000	0.8860	0.8337	1
2044	3021	-0.046	0.000	0.7340	0.6518	1
2044	4598	-0.046	0.000	0.7959	0.6992	1
2044	5100	-0.046	0.000	0.7747	0.6779	1
2044	5284	-0.046	0.000	0.7819	0.6798	1
2045	2089	-18.011	0.000	0.8271	0.8245	1
2045	2090	18.011	0.000	0.9472	0.8259	1
2045	2091	-0.000	0.000	0.9727	0.8849	1
2045	2142	18.011	0.000	0.8749	0.7079	1
2045	3189	-84.021	0.000	0.7051	0.4919	1
2048	2126	220.095	0.000	0.7763	0.6733	1
2048	2206	220.095	0.000	0.7907	0.6817	1
2048	2280	-77.973	0.000	0.7285	0.6254	1
2050	2052	-17.027	0.000	0.7086	0.6807	1
2050	2097	0.135	0.000	0.9693	0.9464	1
2050	2149	0.021	0.000	0.7692	0.6808	1
2050	2231	0.135	0.000	0.7592	0.5820	1
2050	2344	0.135	0.000	0.7422	0.5314	1
2050	2699	0.135	0.000	0.7497	0.5820	1
2050	2942	0.135	0.000	0.7582	0.5814	1
2050	3010	0.136	0.000	0.7251	0.5820	1
2050	3232	0.135	0.000	0.7364	0.5800	1
2050	3272	-9.037	0.000	0.7113	0.6553	1
2050	3361	-9.037	0.000	0.8293	0.8205	1
2050	3448	0.135	0.000	0.7406	0.5820	1
2050	3532	0.135	0.000	0.7180	0.6835	1
2050	3669	0.135	0.000	0.7468	0.5800	1
2050	3678	0.134	0.000	0.7802	0.6835	1
2050	3823	0.134	0.000	0.7336	0.5314	1
2050	3922	0.134	0.000	0.7730	0.6835	1
2050	3973	0.134	0.000	0.7476	0.5800	1
2050	4033	0.134	0.000	0.7443	0.5800	1
2050	4207	0.134	0.000	0.7735	0.6835	1
2050	4578	-17.990	0.000	0.7022	0.6187	1
2050	4846	-17.989	0.000	0.7011	0.6187	1
2050	5074	-17.991	0.000	0.7028	0.6187	1
2050	5998	-17.990	0.000	0.7077	0.6187	1
2050	6135	-17.990	0.000	0.7019	0.6187	1
2050	6137	-17.990	0.000	0.7002	0.6187	1
2051	6072	0.129	0.000	0.7161	0.6159	1
2051	6100	0.128	0.000	0.7083	0.5713	1
2053	2156	-0.000	0.000	0.9592	0.8074	1
2053	2294	-1.007	0.000	0.7318	0.6021	1
2055	2343	0.150	0.000	0.7753	0.6755	1
2055	2519	0.001	0.000	0.7094	0.5632	1
2055	2566	0.150	0.000	0.7030	0.5761	1
2055	2585	0.001	0.000	0.7280	0.6281	1
2055	2899	28.031	0.000	0.7020	0.6025	1
2055	2912	28.032	0.000	0.7328	0.6690	1
2056	6469	468.098	0.000	0.7321	0.4117	1
2056	6471	468.096	0.000	0.7284	0.3814	1
2056	7035	468.101	0.000	0.7154	0.4098	1
2057	2117	18.010	0.000	0.7051	0.5873	1
2057	2318	-12.037	0.000	0.7326	0.7847	1
2057	2413	18.010	0.000	0.7271	0.6828	1
2057	2723	-10.021	0.000	0.7105	0.7342	1
2057	4973	-10.023	0.000	0.7302	0.7158	1
2057	4976	-10.021	0.000	0.7392	0.7418	1
2058	2130	-2.016	0.000	0.7848	0.6408	1
2058	2823	-84.057	0.000	0.8064	0.6653	1
2059	2111	-44.026	0.000	0.9500	0.8061	1
2059	3611	148.096	0.000	0.7763	0.6531	1
2059	3632	104.066	0.000	0.8103	0.6925	1
2059	5173	-188.106	0.000	0.7047	0.5947	1
2059	5196	-144.084	0.000	0.8364	0.6892	1
2059	5198	-144.079	0.000	0.8469	0.7132	1
2059	5208	-100.058	0.000	0.7658	0.6184	1
2059	5210	-100.053	0.000	0.7896	0.6636	1
2059	5233	-56.033	0.000	0.7935	0.6863	1
2059	5234	-56.027	0.000	0.7805	0.6402	1
2059	5247	-12.004	0.000	0.7763	0.6779	1
2059	5248	-12.001	0.000	0.7970	0.6615	1
2059	5259	32.021	0.000	0.7653	0.6107	1
2059	5260	32.025	0.000	0.7829	0.6509	1
2059	5276	76.052	0.000	0.7995	0.6827	1
2059	5280	76.048	0.000	0.7761	0.6530	1
2059	5310	120.075	0.000	0.7234	0.5814	1
2059	5312	120.078	0.000	0.7440	0.6330	1
2059	5323	75.148	0.000	0.7073	0.4489	1
2059	5349	449.282	0.000	0.7466	0.5205	1
2059	5354	449.284	0.000	0.7454	0.5205	1
2061	2174	0.000	0.000	0.7905	0.7507	1
2064	2112	18.010	0.000	0.7204	0.4747	1
2064	2170	-0.000	0.000	0.9016	0.8133	1
2064	3766	-64.070	0.000	0.8057	0.6958	1
2065	2340	13.979	0.000	0.7161	0.7109	1
2065	3308	-66.083	0.000	0.8185	0.6345	1
2065	3316	-66.081	0.000	0.8785	0.7158	1
2065	3708	-80.063	0.000	0.7244	0.5499	1
2065	3757	-66.084	0.000	0.7990	0.6151	1
2065	3891	-103.137	0.000	0.7356	0.5781	1
2065	4165	-119.132	0.000	0.7246	0.5418	1
