feature_id	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class
1004	1.0|1.0	0.0|0.0	MS1_match|MS1_match	http://www.wikidata.org/entity/Q105368398|http://www.wikidata.org/entity/Q27138673	YYCGJHMXNRCONF-HKMPXQLFSA-N|UPMCJHRCQLXGPP-GOZBUJHGSA-N	InChI=1S/C27H42O3/c1-16(2)18-10-11-25(4)12-13-26(5)15-20-17(3)14-27(29-7)22(20)19(24(28-6)30-27)8-9-21(26)23(18)25/h8,17-18,20-24H,1,9-15H2,2-7H3/b19-8+/t17-,18+,20-,21-,22-,23-,24-,25-,26+,27+/m0/s1|InChI=1S/C27H42O3/c1-16(2)17(3)7-8-18(4)20-9-10-21-24-22(12-14-26(20,21)5)27(6)13-11-19(28)15-23(27)25(29)30-24/h16,18-21,23,28H,3,7-15H2,1-2,4-6H3/t18-,19+,20-,21+,23-,26-,27-/m1/s1	C=C(C)[C@H]1CC[C@@]2(C)CC[C@]3(C)C[C@H]4[C@@H](C)C[C@@]5(OC)O[C@H](OC)/C(=C/C[C@H]3[C@H]12)[C@@H]45|C=C(CC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C[C@@H]1C(=O)O3)C(C)C	C27H42O3|C27H42O3	pos_1_minus1proton1magnesium|pos_1_minus1proton1magnesium	414.313395204|414.313395204	Variecoacetal A|7-Nor-Ergosterolide	YYCGJHMXNRCONF|UPMCJHRCQLXGPP	Terpenoids|Terpenoids	Diterpenoids|Steroids	nan|Ergostane steroids	http://www.wikidata.org/entity/Q10419936|http://www.wikidata.org/entity/Q4807897	Aspergillus aurantiobrunneus|Aspergillus ochraceus	973746.0|283734.0	['Eukaryota']|['Eukaryota']	['Fungi']|['Fungi']	['Ascomycota']|['Ascomycota']	['Eurotiomycetes']|['Eurotiomycetes']	['Eurotiales']|['Eurotiales']	['Trichocomaceae']|['Trichocomaceae']	['Unknown']|['Unknown']	['Aspergillus']|['Aspergillus']	['Aspergillus aurantiobrunneus']|['Aspergillus ochraceus']	nan|nan	['Eukaryota']|['Eukaryota']	['Fungi']|['Fungi']	['Ascomycota']|['Ascomycota']	['Eurotiomycetes']|['Eurotiomycetes']	['Eurotiales']|['Eurotiales']	['Trichocomaceae']|['Trichocomaceae']	nan|nan	['Aspergillus']|['Aspergillus']	nan|nan	7|7	1|1	7.5|7.5	1|1	166	Terpenoids	0.6	Lignans	0.26666666666666666	Arylnaphthalene and aryltetralin lignans	0.2
1010	15.0	0.0	MS1_match	http://www.wikidata.org/entity/Q104977835	DFFFEFCBFYMSHZ-KGMAXRKNSA-N	InChI=1S/C27H46O7/c1-14(2)6-7-22(32)26(5,33)21-8-9-27(34)16-11-17(28)15-10-18(29)19(30)12-24(15,3)23(16)20(31)13-25(21,27)4/h14-16,18-23,29-34H,6-13H2,1-5H3/t15-,16+,18+,19-,20+,21-,22+,23+,24-,25+,26+,27+/m0/s1	CC(C)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)[C@@H]3CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3[C@H](O)C[C@]12C	C27H46O7	pos_2MFe	482.324353812	7,8-Dihydroajugasterone C	DFFFEFCBFYMSHZ	Terpenoids	Steroids	Cholestane steroids	http://www.wikidata.org/entity/Q15531903	Nierembergia hippomanica	1080371.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Unknown']	['Nierembergia']	['Nierembergia hippomanica']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	nan	nan	nan	6	2	7.0	1	293	Terpenoids	0.75	Steroids	0.75	Ergostane steroids	0.5
1011	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q77520729	ACXODXBUYIMEFD-CSKARUKUSA-N	InChI=1S/C18H26N2O4/c1-24-17(22)11-9-7-5-3-2-4-6-8-10-14-12-16(21)15(13-20-14)18(19)23/h8,10,12-13H,2-7,9,11H2,1H3,(H2,19,23)(H,20,21)/b10-8+	COC(=O)CCCCCCCC/C=C/c1cc(=O)c(C(N)=O)c[nH]1	C18H26N2O4	pos_2_2proton	334.189257312	Himeic acid G	ACXODXBUYIMEFD	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids	http://www.wikidata.org/entity/Q335130	Aspergillus	550772.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Eurotiomycetes']	['Eurotiales']	['Trichocomaceae']	['Unknown']	['Aspergillus']	['Unknown']	nan	['Eukaryota']	['Fungi']	['Ascomycota']	['Eurotiomycetes']	['Eurotiales']	['Trichocomaceae']	nan	['Aspergillus']	nan	7	3	8.5	1	593	Terpenoids	0.16666666666666666	Macrolides	0.16666666666666666	Pyridine alkaloids	0.16666666666666666
1020	3.0	0.0	MS1_match	http://www.wikidata.org/entity/Q27108165	XSCYYIVXGBKTOC-GZZJDILISA-N	InChI=1S/C14H22O2/c1-8(2)10-4-5-11-7-13(15)14(16)9(3)12(11)6-10/h9-10,13-16H,1,4-7H2,2-3H3/t9-,10+,13+,14+/m0/s1	C=C(C)[C@@H]1CCC2=C(C1)[C@H](C)[C@@H](O)[C@H](O)C2	C14H22O2	pos_1_minus1proton2sodium	222.161979944	Rishitin	XSCYYIVXGBKTOC	Terpenoids	Sesquiterpenoids	Noreudesmane sesquiterpenoids	http://www.wikidata.org/entity/Q10998	Solanum tuberosum	494835.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Solaneae']	['Solanum']	['Solanum tuberosum']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Solaneae']	['Solanum']	['Solanum tuberosum']	9	3	10.5	1	1102	Fatty acids	0.5	Fatty acyls	0.5	Noreudesmane sesquiterpenoids	0.5
1021	1.0	0.4821685	ISDB	http://www.wikidata.org/entity/Q105326007	XDRASELQBRTOKW-HXYHFMIISA-N	InChI=1S/C15H23ClO6/c1-8(2)10-3-4-15(22,7-16)12(14(20)21)11(10)5-9(6-17)13(18)19/h5,8,10-12,17,22H,3-4,6-7H2,1-2H3,(H,18,19)(H,20,21)/b9-5+/t10-,11-,12-,15-/m1/s1	CC(C)[C@H]1CC[C@@](O)(CCl)[C@@H](C(=O)O)[C@@H]1/C=C(\CO)C(=O)O	C15H23ClO6	nan	334.118316136	Rhinomilisin B	XDRASELQBRTOKW	Terpenoids	Sesquiterpenoids	Cadinane sesquiterpenoids	http://www.wikidata.org/entity/Q103811330	Rhinocladiella similis	120625.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Eurotiomycetes']	['Chaetothyriales']	['Herpotrichiellaceae']	['Unknown']	['Rhinocladiella']	['Rhinocladiella similis']	nan	['Eukaryota']	nan	nan	nan	nan	nan	nan	nan	nan	1	3	4.428673982620239	1	721	Terpenoids	0.6666666666666666	Sesquiterpenoids	0.5	Cadinane sesquiterpenoids	0.5
1023	1.0	0.45048988	ISDB	http://www.wikidata.org/entity/Q105378926	ZLJMUCFMWYOHAB-UHFFFAOYSA-N	InChI=1S/C21H20O5/c1-12-15(10-22)6-14-8-18(23-2)19(24-3)9-16(14)21(12)13-4-5-17-20(7-13)26-11-25-17/h4-9,22H,10-11H2,1-3H3	COc1cc2cc(CO)c(C)c(-c3ccc4c(c3)OCO4)c2cc1OC	C21H20O5	nan	352.13107374	Phyllamyricin F	ZLJMUCFMWYOHAB	Shikimates and Phenylpropanoids	Lignans	Arylnaphthalene and aryltetralin lignans	http://www.wikidata.org/entity/Q15246934	Phyllanthus myrtifolius	411887.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Phyllanthaceae']	['Phyllantheae']	['Phyllanthus']	['Phyllanthus myrtifolius']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	nan	nan	nan	nan	nan	4	0	5.80195951461792	1	721	Terpenoids	0.6666666666666666	Sesquiterpenoids	0.5	Cadinane sesquiterpenoids	0.5
1024	1.0	0.58267576	ISDB	http://www.wikidata.org/entity/Q105117517	IPUNBNMYMPOIEC-OAZVDXGHSA-N	InChI=1S/C13H19NO7/c1-3-6-5(2)11(19)14(12(6)20)13-10(18)9(17)8(16)7(4-15)21-13/h7-10,13,15-18H,3-4H2,1-2H3/t7-,8-,9+,10-,13-/m1/s1	CCC1=C(C)C(=O)N([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O	C13H19NO7	nan	301.116151948	1-(beta-D-Glucopyranosyl)-3-ethyl-4-methyl-1H-pyrrole-2,5-dione	IPUNBNMYMPOIEC	nan	nan	nan	http://www.wikidata.org/entity/Q15709611	Staphylea bumalda	280397.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Crossosomatales']	['Staphyleaceae']	['Unknown']	['Staphylea']	['Staphylea bumalda']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	nan	nan	nan	nan	nan	4	0	6.330703020095825	1	1268	Shikimates and Phenylpropanoids	0.5	nan	nan	nan	nan
1032	10.0	0.6816947	ISDB	http://www.wikidata.org/entity/Q75067961	KHHDJKGGBJWOCP-UHFFFAOYSA-N	InChI=1S/C10H12O3/c1-6-4-9(12)7(2)10(13-3)8(6)5-11/h4-5,12H,1-3H3	COc1c(C)c(O)cc(C)c1C=O	C10H12O3	nan	180.078644244	Benzaldehyde, 4-hydroxy-2-methoxy-3,6-dimethyl-	KHHDJKGGBJWOCP	Polyketides	nan	nan	http://www.wikidata.org/entity/Q10420061	Aspergillus silvaticus	973048.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Eurotiomycetes']	['Eurotiales']	['Trichocomaceae']	['Unknown']	['Aspergillus']	['Aspergillus silvaticus']	nan	['Eukaryota']	['Fungi']	['Ascomycota']	['Eurotiomycetes']	['Eurotiales']	['Trichocomaceae']	nan	['Aspergillus']	nan	7	1	10.226778745651245	1	841	Polyketides	1.0	Phenolic acids (C6-C1)	0.8571428571428571	Simple phenolic acids	0.8571428571428571
1033	2.0	0.0	MS1_match	http://www.wikidata.org/entity/Q6172528	HCJMNOSIAGSZBM-UHFFFAOYSA-N	InChI=1S/C8H8O3/c1-5-3-2-4-6(9)7(5)8(10)11/h2-4,9H,1H3,(H,10,11)	Cc1cccc(O)c1C(=O)O	C8H8O3	pos_1_1proton1ethylamine	152.047344116	2-Hydroxy-6-methylbenzoic acid	HCJMNOSIAGSZBM	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)	Simple phenolic acids	http://www.wikidata.org/entity/Q6650998	Aspergillus flavipes	752509.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Eurotiomycetes']	['Eurotiales']	['Trichocomaceae']	['Unknown']	['Aspergillus']	['Aspergillus flavipes']	nan	['Eukaryota']	['Fungi']	['Ascomycota']	['Eurotiomycetes']	['Eurotiales']	['Trichocomaceae']	nan	['Aspergillus']	nan	7	3	8.5	1	841	Polyketides	1.0	Phenolic acids (C6-C1)	0.8571428571428571	Simple phenolic acids	0.8571428571428571
1036	10.0	0.27879226	ISDB	http://www.wikidata.org/entity/Q414116	QAIPRVGONGVQAS-DUXPYHPUSA-N	InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/b4-2+	O=C(O)/C=C/c1ccc(O)c(O)c1	C9H8O4	nan	180.042258736	Caffeic Acid	QAIPRVGONGVQAS	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	http://www.wikidata.org/entity/Q10998	Solanum tuberosum	494835.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Solaneae']	['Solanum']	['Solanum tuberosum']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Solaneae']	['Solanum']	['Solanum tuberosum']	9	1	10.615169048309326	1	3	Shikimates and Phenylpropanoids	0.25396825396825395	Fatty Acids and Conjugates	0.1111111111111111	Dicarboxylic acids	0.1111111111111111
