feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final
7132	534	Alkaloids	0.6666666666666666	Tryptophan alkaloids	0.5	Simple indole alkaloids	0.5	1.0	0.37478068	ISDB	http://www.wikidata.org/entity/Q77371666	GRXIPOZSDQNWRO-UHFFFAOYSA-N	InChI=1S/C11H13NO/c1-7-6-9-8(2)11(13-3)5-4-10(9)12-7/h4-6,12H,1-3H3	COc1ccc2[nH]c(C)cc2c1C	C11H13NO		175.099714036	5-Methoxy-2,4-dimethyl-1H-indole	GRXIPOZSDQNWRO	Alkaloids	Tryptophan alkaloids	Simple indole alkaloids	http://www.wikidata.org/entity/Q10646429	Tricholoma sciodes	718304.0	['Eukaryota']	['Fungi']	['Basidiomycota']	['Agaricomycetes']	['Agaricales']	['Tricholomataceae']	['Unknown']	['Tricholoma']	['Tricholoma sciodes']											0	3	2.999122738838196	1
7126	-1							1.0	0.4306474	ISDB									HIMAOQJJMNAYIH							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	1.7225896120071411	1
7124	23	Terpenoids	0.5882352941176471	Steroids	0.47058823529411764	Stigmastane steroids	0.4117647058823529	23.0	0.39443046	ISDB	http://www.wikidata.org/entity/Q72499201	ICFXJOAKQGDRCT-ZIHMWMKCSA-N	InChI=1S/C29H48O2/c1-7-20(18(2)3)9-8-19(4)23-10-11-24-27-25(13-15-29(23,24)6)28(5)14-12-22(30)16-21(28)17-26(27)31/h17-20,22-25,27,30H,7-16H2,1-6H3/t19-,20-,22+,23-,24+,25+,27+,28+,29-/m1/s1	CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C(=O)C=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C	C29H48O2		428.365430776	3-Hydroxystigmast-5-en-7-one	ICFXJOAKQGDRCT	Terpenoids	Steroids	Stigmastane steroids	http://www.wikidata.org/entity/Q10910406	Solanum violaceum	701412.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Solaneae']	['Solanum']	['Solanum violaceum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Solaneae']	['Solanum']		8	3	11.07772183418274	1
7121	225	Fatty acids	0.45454545454545453	Fatty acyls	0.45454545454545453	Oxygenated hydrocarbons	0.45454545454545453	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q82002558	XKTQVJODAZKGGU-UHFFFAOYSA-N	InChI=1S/C9H16O/c1-4-5-6-9(10)7-8(2)3/h7H,4-6H2,1-3H3	CCCCC(=O)C=C(C)C	C9H16O	pos_1_minus1proton1magnesium	140.120115132	2-Octen-4-one, 2-methyl-	XKTQVJODAZKGGU	Fatty acids	Fatty acyls	Oxygenated hydrocarbons	http://www.wikidata.org/entity/Q23501	Solanum lycopersicum	378964.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Solaneae']	['Solanum']	['Solanum lycopersicum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Solaneae']	['Solanum']		8	3	9.5	1
7119	534	Alkaloids	0.6666666666666666	Tryptophan alkaloids	0.5	Simple indole alkaloids	0.5	3.0	0.25836036	ISDB	http://www.wikidata.org/entity/Q105177612	NDLJVFLWWMLBIO-UHFFFAOYSA-N	InChI=1S/C11H13NO/c1-3-8-7-12-9-5-4-6-10(13-2)11(8)9/h4-7,12H,3H2,1-2H3	CCc1c[nH]c2cccc(OC)c12	C11H13NO		175.099714036	3-Ethyl-4-methoxy-1H-indole	NDLJVFLWWMLBIO	Alkaloids	Tryptophan alkaloids	Simple indole alkaloids	http://www.wikidata.org/entity/Q15544217	Eutrema halophilum	991618.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Eutremeae']	['Eutrema']	['Eutrema halophilum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	3	6.533441424369812	1
7117	448							1.0	0.26152688	ISDB									XIWJZXRHSHGJQJ							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	1.046107530593872	1
7115	33	Terpenoids	0.375	Fatty acyls	0.2916666666666667	Fatty alcohols	0.2916666666666667	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q27281975	AYQPVPFZWIQERS-VOTSOKGWSA-N	InChI=1S/C8H16O/c1-2-3-4-5-6-7-8-9/h6-7,9H,2-5,8H2,1H3/b7-6+	CCCCC/C=C/CO	C8H16O	pos_1_minus1proton1magnesium	128.120115132	trans-2-Octen-1-Ol	AYQPVPFZWIQERS	Fatty acids	Fatty acyls	Fatty alcohols	http://www.wikidata.org/entity/Q23501	Solanum lycopersicum	378964.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Solaneae']	['Solanum']	['Solanum lycopersicum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Solaneae']	['Solanum']		8	3	9.5	1
7115	33	Terpenoids	0.375	Fatty acyls	0.2916666666666667	Fatty alcohols	0.2916666666666667	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q27093997	VSMOENVRRABVKN-MRVPVSSYSA-N	InChI=1S/C8H16O/c1-3-5-6-7-8(9)4-2/h4,8-9H,2-3,5-7H2,1H3/t8-/m1/s1	C=C[C@@H](O)CCCCC	C8H16O	pos_1_minus1proton1magnesium	128.120115132	(S)-1-Octen-3-ol	VSMOENVRRABVKN	Fatty acids	Fatty acyls	Fatty alcohols	http://www.wikidata.org/entity/Q23501	Solanum lycopersicum	378964.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Solaneae']	['Solanum']	['Solanum lycopersicum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Solaneae']	['Solanum']		8	3	9.5	1
7114	-1							1.0	0.7860394	ISDB									IXEUYAHNQXAWNT							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	3.144157648086548	1
7111	23	Terpenoids	0.5882352941176471	Steroids	0.47058823529411764	Stigmastane steroids	0.4117647058823529	24.0	0.39839476	ISDB	http://www.wikidata.org/entity/Q104914733	AMMKCVYTIVZBCS-UHFFFAOYSA-N	InChI=1S/C28H46O3/c1-18(2)19(3)7-8-20(4)22-9-10-23-25(22,5)13-12-24-26(6)14-11-21(29)17-27(26)15-16-28(23,24)31-30-27/h15-16,18-24,29H,7-14,17H2,1-6H3	CC(C)C(C)CCC(C)C1CCC2C1(C)CCC1C23C=CC2(CC(O)CCC12C)OO3	C28H46O3		430.344695332	5-(5,6-Dimethylheptan-2-yl)-6,10-dimethyl-16,17-dioxapentacyclo[13.2.2.01,9.02,6.010,15]nonadec-18-en-13-ol	AMMKCVYTIVZBCS	Terpenoids	Steroids	Cholestane steroids	http://www.wikidata.org/entity/Q146190	Helianthus tuberosus	515709.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Heliantheae']	['Helianthus']	['Helianthus tuberosus']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	2	6.593579053878784	1
