formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C2H7NO3S2	[M - H2O + H]+	C2H6NO2S2+	1.000	0.333	17.923	17.923	0.000	2	0.132	-9.748	9.748	-128669.657		139.983	8	0.136	707603130442690573	707602752477151135	3	
1	C3H7NO4S2	[M - H2O + H]+	C3H6NO3S2+	0.791	0.133	16.879	16.879	0.000	2	0.275	-5.712	5.712	-107226.021		167.977	8	0.142	707603130094563307	707602752179355543	1	
1	C4H4N2O8	[M - H2O + H]+	C4H3N2O7+	0.800	0.331	21.265	21.265	0.000	2	0.181	-1.290	1.290	-94300.900		190.993	9	0.142	707603137455567089	707602752355516315	2	
1	C4H7Cl2NO	[M - H2O + H]+	C4H6Cl2N+	1.000	0.010	5.895	5.895	0.000	1	0.033	-0.015	0.355	-130522.733		137.987	11	0.175	707603134695714995	707602752573620131	4	
1	CH5F2N2O3S2	[M + Na]+	CH5F2N2NaO3S2+	0.999	0.091	24.560	24.560	0.000	6	0.210	-1.676	1.969	-2.024		217.960	13	0.221	707603133387092087	707602752842055599	7	
1	C4H4N2O8	[M - H2O + H]+	C4H3N2O7+	0.800	0.259	21.195	21.195	0.000	2	0.166	-1.382	1.382	-94300.756		190.993	13	0.223	707603135450689727	707602752749780907	6	
1	C2H7NO3S2	[M - H2O + H]+	C2H6NO2S2+	1.000	0.333	11.222	11.222	0.000	2	0.008	-9.847	9.847	-128669.738		139.983	14	0.226	707603128819494864	707602752930135987	8	
1	CH3F2N2O2S	[M + Na]+	CH3F2N2NaO2S+	1.000	1.000	39.612	39.612	0.000	7	0.664	2.919	5.645	-0.836		167.977	15	0.258	707603131638067273	707602752661700519	5	
1	C2H4Cl2O3	[M - H2O + H]+	C2H3Cl2O2+	1.000	0.012	0.179	0.179	0.000	0	0.000	3.737	3.737	-139665.301		128.951	18	0.295	707603145353441831	707602754150678511	23	
1	C4H5BrFNO4	[M + K]+	C4H5BrFKNO4+	1.000	1.000	55.291	55.084	0.208	14	0.408	1.369	1.871	0.500		267.902	18	0.299	707603140068618602	707602753743830999	17	
1	C4H7Cl2NO	[M - H2O + H]+	C4H6Cl2N+	1.000	0.009	7.320	5.340	1.980	1	0.017	1.485	1.485	-130522.570		137.987	18	0.301	707603137942106410	707602753009827767	9	
1	C4H7Cl2NO3	[M - H2O + H]+	C4H6Cl2NO2+	0.957	0.002	48.307	46.320	1.988	10	0.292	3.688	3.805	-105955.055		169.978	18	0.302	707603139133288778	707602754289090555	26	
1	C5H5BrFNO5	[M + K]+	C5H5BrFKNO5+	0.879	0.624	44.270	44.270	0.000	10	0.461	-1.490	1.781	0.268		295.897	18	0.303	707603166345934649	707602753798356955	18	
