"features"	"LV1"	"LV2"
1	-0.00912900348370491	-0.00715098072217869
10	-0.00252698479581871	-0.0106048010621662
100	-0.0216436691902569	0.00127374308203965
1000	-0.0153044213190162	-0.00242847915400094
1005	-0.00226450653983319	-0.0146356555657511
1006	-0.0137398914371797	0.00918749293054363
1007	-0.0159812006926712	-0.00759283716072111
1008	-0.0162301052228627	-0.00838917252399718
1009	-0.01663103474456	0.00842437437469415
101	-0.0215183210167025	-0.00169769213795322
1010	-0.00437592319913026	-0.0137301326956472
1012	-0.0174720614196971	-0.00667514912597947
1014	-0.0189048341574743	-0.00254428320346682
1015	-0.0138234148274768	-0.00715603135401835
1016	-0.0171508699495436	-0.0111210233370504
1017	-0.0127507284942017	-0.0105490803151684
1018	-0.0127311841501431	-0.00989794851397017
1019	-0.0162046043121834	-0.0139342926458365
102	-0.0229119856928357	-0.000516681418329102
1020	-0.00533953971756145	-0.0172114131394616
1021	-0.0155443737032188	0.00575642102577646
1022	-0.00903055932275572	0.00363187081191251
1023	-0.0154789623144412	0.0059886249830101
1024	-0.0187193863217431	-0.0080430712082742
1025	-0.01463328431891	-0.0152656200135055
1026	-0.0208409036713109	-0.0169200316809871
1029	-0.0159169082632704	-0.0171703789075815
103	-0.0208950644464345	-0.0014176750680896
1030	-0.0218537057243539	-0.00629552358658382
1031	-0.018870067612402	-0.00648868683161357
1035	-0.0192723539279173	0.00897409228502294
1036	-0.0206979888483995	0.0084942435114044
1037	-0.0171034033583292	-0.000319949912343768
1038	-0.0076411341429204	-0.0180265559518242
104	-0.0202969607907381	-0.0016160857710622
1040	-0.0144094505819314	-0.0148356695826358
1041	-0.00196770068430192	-0.0184000209949992
1042	-0.00248727373476524	-0.018126310343345
1043	-0.0141656983262853	-0.0145065471299608
1044	-0.0186743047106327	-0.00783432681218183
1045	-0.00525761376583063	-0.0268463331723979
1046	-0.00226450653983319	-0.0146356555657511
1047	-0.00304502127659677	-0.0159675933519004
1048	-0.00298183347069151	-0.0158597642202455
1049	-0.0132282146650838	0.0119086150120051
105	-0.0163377784377192	-0.0157401501029793
1050	-0.0170230391157501	-0.013802136501948
1051	-0.00551451821865214	-0.0195764089338592
1052	-0.0160723944429652	-0.000723557368132578
1053	-0.0143553403672116	-0.00354386386578787
1054	-0.0163191386208249	-0.000411096242819778
1055	-0.0163106556009232	0.000335793006981674
1056	-0.00691183330816799	-0.0149785735284793
1057	-0.0157259689240852	-0.0124459034886465
1058	-0.0155971764088031	-0.00393422839652532
1059	-0.015403992428693	-0.00680209851127991
106	-0.000988042554655677	-0.00633099569822296
1060	-0.0166501113420506	0.00197413859165016
1062	-0.00366049098689502	-0.0170178840443936
1063	-0.0150239840623859	-0.0124778021919782
1064	-0.000707669197472178	-0.00355968848385354
1065	-0.0149831256818165	-0.021527506707506
1067	-0.00418541210744356	-0.014475011413891
1068	-0.0163641947969019	-0.00490988958162424
1069	-0.0151068955450328	0.00447270331490675
107	-0.0115638859213211	-0.00839415216666848
1070	-0.0169138275433982	0.00310449537688636
1071	-0.0188609200823638	-0.0110811132564302
1072	-0.011615050652885	-0.0126079737297879
1073	-0.0100049717248475	0.00536506700455685
1074	-0.0156250037109409	0.0111846762523965
1075	-0.0102925333260315	0.00458125081995412
1076	-0.012463943938867	0.0130503560120749
