"samples"	"LV1"	"LV2"
"20250402_PMA_tp24_000004_01_01.mzML"	-38.8822962664413	7.35975011103066
"20250402_PMA_tp24_000008_01_01.mzML"	-38.6193813190467	-10.4168123174081
"20250402_PMA_tp24_000021_01_01.mzML"	-34.607980905148	-14.376212837652
"20250402_PMA_tp24_000022_01_01.mzML"	-36.3034879764218	10.3516472610389
"20250402_PMA_tp24_000023_01_01.mzML"	-37.0985868548106	9.8556590689063
"20250402_PMA_tp24_000024_03_01.mzML"	-25.3842510085918	-16.1265665939172
"20250402_PMA_tp24_000026_01_01.mzML"	-32.2442929834115	1.64226461381405
"20250402_PMA_tp24_000027_01_01.mzML"	-36.6114800523616	-4.01559355666525
"20250402_PMA_tp24_000028_01_01.mzML"	-37.5062746325354	6.37192270842209
"20250402_PMA_tp24_000029_01_01.mzML"	-42.7271650458934	-3.75269230499719
"20250402_PMA_tp24_000029_01_02.mzML"	-33.9713589075692	3.89940328315477
"20250402_PMA_tp24_000032_01_01.mzML"	-10.8151606729661	-3.49658674664164
"20250402_PMA_tp24_000035_01_01.mzML"	-29.3212162883816	6.90126733134246
