"feature_id_full","feature_id","feature_mz","feature_rt","control_vs_ND_p_value","control_vs_trich_p_value","ND_vs_trich_p_value","control_vs_ND_p_value_minus_log10","control_vs_trich_p_value_minus_log10","ND_vs_trich_p_value_minus_log10","ND_vs_trich_fold_change","control_vs_trich_fold_change","control_vs_ND_fold_change","ND_vs_trich_fold_change_log2","control_vs_trich_fold_change_log2","control_vs_ND_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"40_141.96_0.3",40,141.958812061295,0.32345635,3.17523785042795e-14,0.01700361236967,3.17523785042795e-14,13.498223737062,1.76945880417729,13.498223737062,0.500152866459433,0.999568930332748,1.99852684521968,-0.999558988046617,-0.000622036151314914,0.998936951895302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28_182.99_0.3",28,182.985401342128,0.31112695,3.17523785042795e-14,0.0236955212334377,3.17523785042795e-14,13.498223737062,1.62533373362776,13.498223737062,0.500305180496433,0.999218314580197,1.99721760543977,-0.999119703844337,-0.00112817467500115,0.997991529169336,NA,NA,NA,NA,"O=C(O)C(=O)CC1=CC=C(O)C=C1",NA,NA,"InChI=1S/C9H8O4/c10-7-3-1-6(2-4-7)5-8(11)9(12)13/h1-4,10H,5H2,(H,12,13)",NA,"KKADPXVIOXHVKN-UHFFFAOYSA-N","KKADPXVIOXHVKN",NA,NA,NA,NA,NA
"18_295.9_0.3",18,295.896752778979,0.30249953,3.17523785042795e-14,0.0281772785966065,3.17523785042795e-14,13.498223737062,1.55010095400698,13.498223737062,0.502883911031483,0.983522704561096,1.95576490515228,-0.991702697458727,-0.0239697374729172,0.96773295998581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23_128.95_0.3",23,128.951038471303,0.2951879,3.17523785042795e-14,0.0319140342433071,3.17523785042795e-14,13.498223737062,1.49601829330369,13.498223737062,0.505063609514366,0.985169005934543,1.95058402026195,-0.985462997415366,-0.0215568544722356,0.96390614294313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25_154.99_0.3",25,154.990448368131,0.31765395,3.17523785042795e-14,0.0346840035617222,3.17523785042795e-14,13.498223737062,1.45987077785068,13.498223737062,0.500432503693587,0.998904184769119,1.9960817440842,-0.998752597560609,-0.00158179403469319,0.997170803525916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178_294_0.5",178,294.003393737196,0.4522559,3.17523785042795e-14,0.0468569420554176,3.17523785042795e-14,13.498223737062,1.3292260574333,13.498223737062,0.507750767802174,0.984784549865404,1.93950381232922,-0.977807578773514,-0.0221199671098869,0.955687611663627,NA,NA,NA,NA,NA,"N=c1nc2c(c[nH]1)-c1cc(Br)[nH]c1C(=O)NC2",NA,NA,NA,NA,NA,"KEIQPGDVLYNECO","InChI=1S/C10H8BrN5O/c11-7-1-4-5-2-14-10(12)15-6(5)3-13-9(17)8(4)16-7/h1-2,16H,3H2,(H,13,17)(H2,12,14,15)","KEIQPGDVLYNECO-UHFFFAOYSA-N",NA,NA
"9_137.99_0.3",9,137.987294664389,0.30043107,3.17523785042795e-14,0.0580459999870844,3.17523785042795e-14,13.498223737062,1.23622770259881,13.498223737062,0.50774200237547,0.985437420737328,1.94082312695613,-0.977832484588718,-0.0211638376810259,0.956668646907692,"Fatty acids","Fatty Acids and Conjugates","Halogenated fatty acids","N-(1,2-dichloroethyl)acetamide",NA,NA,"CC(=O)NC(CCl)Cl",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C4H7Cl2NO/c1-3(8)7-4(6)2-5/h4H,2H2,1H3,(H,7,8)","XDINYGSGZCMRLV"
"47_276.9_0.3",47,276.896883135798,0.31098405,3.17523785042795e-14,0.125877184307543,3.17523785042795e-14,13.498223737062,0.900052980196164,13.498223737062,0.50113726704567,0.997825678963598,1.99112248196194,-0.996722267192088,-0.00314029742242937,0.993581969769658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27_180.99_0.3",27,180.990058837422,0.31104255,3.17523785042795e-14,0.151594304093232,3.17523785042795e-14,13.498223737062,0.819317116298627,13.498223737062,0.50040118420892,0.999076060193064,1.99655015159985,-0.998842891214335,-0.00133357954607325,0.997509311668261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17_267.9_0.3",17,267.901893804041,0.29907835,3.17523785042795e-14,0.264917192914134,3.17523785042795e-14,13.498223737062,0.576889855423279,13.498223737062,0.505904580469464,0.992821525013318,1.96246795016564,-0.983062793495361,-0.0103937005176714,0.97266909297769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26_169.98_0.3",26,169.977593342179,0.3021149,3.17523785042795e-14,0.330248462848243,3.17523785042795e-14,13.498223737062,0.481159195145925,13.498223737062,0.504673286117923,0.993324395384688,1.96825237774243,-0.986578372438056,-0.00966315136814903,0.976915221069908,"Alkaloids","Pseudoalkaloids (transamidation)","Pyridine alkaloids","4-hydroxy-3H-1,4lambda5-azaphosphinine 4-oxide",NA,NA,"C1C=NC=CP1(=O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C4H6NO2P/c6-8(7)3-1-5-2-4-8/h1-3H,4H2,(H,6,7)","JXUQCTBCEXSDRM"
"179_244.13_0.5",179,244.129298486431,0.45581812,3.17523785042795e-14,0.335713487490202,3.17523785042795e-14,13.498223737062,0.474031210360857,13.498223737062,0.5,0.995063388465334,1.99012677693067,-1,-0.00713966238514589,0.992860337614854,"Amino acids and Peptides","Small peptides","Dipeptides","5-Oxo-1-L-prolyl-L-proline",NA,"NC1(C(=O)O)CC1","C1CC(NC1)C(=O)N2C(CCC2=O)C(=O)O",NA,NA,NA,NA,"PAJPWUMXBYXFCZ","InChI=1S/C4H7NO2/c5-4(1-2-4)3(6)7/h1-2,5H2,(H,6,7)","PAJPWUMXBYXFCZ-UHFFFAOYSA-N","InChI=1S/C10H14N2O4/c13-8-4-3-7(10(15)16)12(8)9(14)6-2-1-5-11-6/h6-7,11H,1-5H2,(H,15,16)","RSZZIJPHQIDLTR"
"162_405.05_0.4",162,405.050275172752,0.44925427,3.17523785042795e-14,0.561693101744894,3.17523785042795e-14,13.498223737062,0.250500909740599,13.498223737062,0.503944195796237,0.996145035804868,1.9766971107405,-0.988664108990368,-0.00557228512096265,0.983091823869406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345_170.08_0.7",345,170.081332330364,0.6640049,3.17523785042795e-14,0.774456993521486,3.17523785042795e-14,13.498223737062,0.111002694102174,13.498223737062,0.502127232128195,1.00425446425639,2,-0.993875125326862,0.00612487467313833,1,"Alkaloids","Nicotinic acid alkaloids","Pyridine alkaloids","Pyridoxol",NA,"CC(=O)OC(C)(C)[C@@H]1CC[C@@]2(C)CO[C@]3(C)C=CO[C@]23C1","CC1=NC=C(C(=C1O)CO)CO",NA,NA,NA,NA,"YARAJYKHRCCDLG","InChI=1S/C17H26O4/c1-12(18)21-14(2,3)13-6-7-15(4)11-20-16(5)8-9-19-17(15,16)10-13/h8-9,13H,6-7,10-11H2,1-5H3/t13-,15+,16-,17-/m1/s1","YARAJYKHRCCDLG-XLNGHYISSA-N","InChI=1S/C8H11NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,10-12H,3-4H2,1H3","LXNHXLLTXMVWPM"
"138_203.05_0.4",138,203.053009756634,0.42924643,2.8066438062524e-13,0.0173768830790494,8.32667268468867e-14,12.5518127005807,1.76002812103847,13.0795285067993,0.509100991408777,0.96951458715991,1.90436593823375,-0.973976219819645,-0.0446654898353948,0.92931072998425,"Polyketides","Monoterpenoids","Pinane monoterpenoids","5-Methoxycarbonylthiophene-2-boronic acid",NA,NA,"B(C1=CC=C(S1)C(=O)OC)(O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C6H7BO4S/c1-11-6(8)4-2-3-5(12-4)7(9)10/h2-3,9-10H,1H3","VJWFTDBWRPSNFS"
"353_130.05_0.7",353,130.050060968797,0.6806922,1.14108722470974e-12,0.920840168865129,5.78204151224782e-13,11.9426811568419,0.035815744182816,12.2379187946309,0.50404895457249,1.00422995904675,1.99232624120506,-0.988364235985322,0.00608967047238246,0.994453906457705,"Amino acids and Peptides","Small peptides","Aminoacids","L-Glu",NA,NA,"C(CC(=O)O)C(C(=O)O)N",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)","WHUUTDBJXJRKMK"
"140_414.05_0.4",140,414.045233107087,0.43869713,1.36703981468145e-11,0.17511780259291,6.31428243025312e-12,10.8642188365334,0.756669701004772,11.1996759965399,0.505415103718157,0.975174207081178,1.92945204824148,-0.984459316766732,-0.0362681270590386,0.948191189707694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"489_175.11_0.9",489,175.108034973662,0.86799574,3.89879240003665e-11,0.335713487490246,2.19848583782323e-11,10.4090698891821,0.4740312103608,10.6578763276677,0.5,0.977765767275234,1.95553153455047,-1,-0.0324391991003225,0.967560800899678,"Amino acids and Peptides","Small peptides","Aminoacids","Gly-Val",NA,NA,"CC(C)C(C(=O)O)NC(=O)CN",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C7H14N2O3/c1-4(2)6(7(11)12)9-5(10)3-8/h4,6H,3,8H2,1-2H3,(H,9,10)(H,11,12)","STKYPAFSDFAEPH"
