"samples"	"LV1"	"LV2"
"20250402_PMA_tp24_000004_01_01.mzML"	-38.3790848760178	-7.98181385985801
"20250402_PMA_tp24_000008_01_01.mzML"	-40.2586474193536	9.81792816207751
"20250402_PMA_tp24_000021_01_01.mzML"	-36.5751642203807	13.9947670892056
"20250402_PMA_tp24_000022_01_01.mzML"	-35.0940895820543	-10.6881372399139
"20250402_PMA_tp24_000023_01_01.mzML"	-36.0453451265872	-9.22801523100367
"20250402_PMA_tp24_000024_03_01.mzML"	-27.8501536619288	16.7892546739427
"20250402_PMA_tp24_000026_01_01.mzML"	-32.3162074472169	-2.32253008842158
"20250402_PMA_tp24_000027_01_01.mzML"	-37.3381627232753	4.88019107717757
"20250402_PMA_tp24_000028_01_01.mzML"	-37.2058992485809	-7.48692292827477
"20250402_PMA_tp24_000029_01_01.mzML"	-43.5262729938432	2.74980909140289
"20250402_PMA_tp24_000029_01_02.mzML"	-33.647623031422	-3.31986959667296
"20250402_PMA_tp24_000032_01_01.mzML"	-12.8897912106967	1.61632010788773
"20250402_PMA_tp24_000035_01_01.mzML"	-28.7566927038112	-7.58328295449955
