"samples"	"LV1"	"LV2"
"20250402_PMA_tp24_000004_01_01.mzML"	-33.7890299143683	-6.1550859236281
"20250402_PMA_tp24_000008_01_01.mzML"	-23.2393481627545	16.8406965547806
"20250402_PMA_tp24_000021_01_01.mzML"	-17.1174836459219	20.2360510541315
"20250402_PMA_tp24_000022_01_01.mzML"	-31.7853134354054	-10.3770875372645
"20250402_PMA_tp24_000023_01_01.mzML"	-32.2650275392449	-9.9875834280007
"20250402_PMA_tp24_000024_03_01.mzML"	-7.88504880669271	21.1761740482386
"20250402_PMA_tp24_000026_01_01.mzML"	-23.7676049585789	-0.952023028987799
"20250402_PMA_tp24_000027_01_01.mzML"	-24.5602429059847	6.80954918889547
"20250402_PMA_tp24_000028_01_01.mzML"	-32.4148471772912	-6.0008962934661
"20250402_PMA_tp24_000029_01_01.mzML"	-30.4888979093237	9.62509429122353
"20250402_PMA_tp24_000029_01_02.mzML"	-26.754710944646	-3.80075947026881
"20250402_PMA_tp24_000035_01_01.mzML"	-24.6768442909605	-7.55924320733888
