"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"1_167.98_0.1",1,167.977407122932,0.100052,"C3H7NO4S2"
"10_130.01_0.3",10,130.00822149543,0.32312015,"C3H3F2NO"
"100_290.85_0.4",100,290.847602321036,0.39935154,NA
"1000_323.11_1.9",1000,323.110007811936,1.9200139,"C12H11N5O5"
"1005_725.36_1.9",1005,725.364682247388,1.9205889,"C40H45N5O7"
"1006_375.12_2",1006,375.116244398485,1.9507354,"C14H19N3O4S2"
"1007_318.15_1.9",1007,318.154703868627,1.9231474,"C14H20O7"
"1008_179.03_1.9",1008,179.034126570823,1.9345403,"C9H6O4"
"1009_198.08_1.9",1009,198.076288498912,1.9276814,"C9H8O4"
"101_122.92_0.4",101,122.924799348965,0.39977077,NA
"1010_510.29_1.9",1010,510.290856528103,1.9319365,"C23H40O11"
"1012_346.19_1.9",1012,346.185968779588,1.9258578,NA
"1014_332.21_1.9",1014,332.206686456237,1.9290352,"C16H26O6"
"1015_169.98_1.9",1015,169.977641675677,1.9195563,"C4H7Cl2NO3"
"1016_324.11_1.9",1016,324.105187623785,1.9487467,"C11H23N3O5S2"
"1017_403.16_1.9",1017,403.157419204689,1.9322972,"C17H24ClN3O3S"
"1018_427.19_1.9",1018,427.194260268266,1.933257,"C19H32O9"
"1019_199.99_2",1019,199.988153786885,1.9577137,"C5H9Cl2NO4"
"102_206.89_0.4",102,206.886267053225,0.39977077,"C3H2BrFO2"
"1020_267.13_1.9",1020,267.134077518501,1.9480739,"C13H15NO4"
"1021_335.12_1.9",1021,335.123810990115,1.9491719,"C16H15NO6"
"1022_448.19_2",1022,448.194555896267,1.9730487,"C18H26N2O10"
"1023_353.13_1.9",1023,353.134396680792,1.9491719,"C16H17NO7"
"1024_302.12_1.9",1024,302.123613844946,1.949163,"C11H22ClN3O3"
"1025_247.92_2",1025,247.915129746172,1.9504918,NA
"1026_139.98_1.9",1026,139.982450480359,1.9478623,NA
"1029_171.99_2",1029,171.993230337782,1.9568819,NA
"103_236.91_0.4",103,236.905199814246,0.39111748,NA
"1030_307.17_2",1030,307.168678745067,1.9673882,"C13H23NO4S"
"1031_151.04_2",1031,151.035560872183,1.9745383,"C4H6N3O2"
"1035_365.08_2",1035,365.084434141425,1.9769942,"C13H22N2O7S2"
"1036_181.05_2",1036,181.049927467436,1.9769908,"C9H8O4"
"1037_163.04_2",1037,163.039281833601,1.974596,"C9H8O4"
"1038_234.14_2",1038,234.135158944201,2.0092628,NA
"104_208.88_0.4",104,208.884317120413,0.3990451,NA
"1040_182.99_2",1040,182.985525133321,1.9838191,NA
"1041_257.14_2",1041,257.138418499314,2.034625,"C13H22O6"
"1042_338.22_2",1042,338.21747809083,1.9961464,"C16H24N4O3"
"1043_128.95_2",1043,128.951101367613,2.008255,NA
"1044_265.14_2",1044,265.143722080714,2.02119,"C15H20O4"
"1045_332.18_2",1045,332.18190172628,2.0072386,"C14H22N2O6"
"1046_163.08_2",1046,163.07567152961,2.014505,"C10H12O3"
"1047_365.12_2",1047,365.120901386915,2.020404,"C16H22O8"
"1048_428.21_2",1048,428.213366924734,2.0288248,"C17H30O11"
"1049_277.17_2",1049,277.166034860125,2.0294936,"C14H17N3O2"
"105_212.84_0.4",105,212.84288122298,0.39860913,NA
"1050_158.96_2",1050,158.961625714807,2.001781,NA
"1051_572.26_2",1051,572.256342158412,2.023378,"C23H43NO16"
"1052_177.05_2",1052,177.054890036191,2.034554,"C10H10O4"
"1053_450.2_2",1053,450.197268724578,2.037808,"C20H24N4O7"
"1054_238.11_2",1054,238.107532346478,2.0354817,"C12H12O4"
"1055_400.16_2",1055,400.159983831422,2.0354817,"C18H22O9"
"1056_231.17_2",1056,231.170588952431,2.0358577,"C11H19NO3"
"1057_163_2",1057,162.998484744942,2.0452003,"C6H9ClO2S"
"1058_125.99_2",1058,125.986557989862,2.0118873,"C3H7Cl2NO"
"1059_422.14_2",1059,422.14212635223,2.035941,"C16H25N5O6"
"106_265.11_0.4",106,265.112129364296,0.40707806,"C12H16N4OS"
"1060_445.22_2",1060,445.218513161049,2.035015,"C20H29NO9"
"1062_392.15_2",1062,392.154906501593,2.0453749,"C15H23N5O6"
"1063_284.9_2",1063,284.904736658541,2.0328803,NA
"1065_137.99_2",1065,137.987567281687,2.047238,NA
"1067_510.29_2.1",1067,510.291159029926,2.0538235,"C23H40O11"
"1068_190.99_2",1068,190.993372195795,2.040892,"C4H4N2O8"
"1069_190.12_2.1",1069,190.122895272224,2.0556626,"C12H12O"
"107_212.85_0.4",107,212.852129987046,0.40702665,NA
"1070_207.15_2.1",1070,207.149446030889,2.0566025,"C12H15NO"
"1071_324.17_2.1",1071,324.165558284607,2.0631952,"C13H22O8"
"1072_329.12_2.1",1072,329.120872900179,2.0631952,"C11H13N5O6"
"1073_300.2_2.1",1073,300.201960027625,2.0642579,"C12H26O7"
"1074_336.11_2.1",1074,336.107864780484,2.0650759,"C16H14O7"
"1075_283.18_2.1",1075,283.175294107172,2.064945,"C12H26O7"
"1076_335.12_2.1",1076,335.12388502745,2.0689023,"C12H20N6O3"
"1078_252.15_2.1",1078,252.145712150056,2.0776665,"C10H18O6"
"1079_333.15_2.1",1079,333.152242408881,2.0796425,"C14H16F3N3O2"
"108_175.12_0.4",108,175.119372363563,0.41213235,"C6H11N3O2"
"1080_139.04_2.1",1080,139.039238898069,2.080578,"C7H8O4"
"1081_121.03_2.1",1081,121.028793867163,2.0934763,"C7H6O3"
"1082_346.15_2.1",1082,346.14996793765,2.0883977,"C16H25N3O3"
"1083_354_2.1",1083,354.003471161601,2.0911934,"C12H11Cl2N3O4"
"1084_151.08_2.1",1084,151.075656262773,2.0928137,"C9H10O2"
"1085_323.07_2.1",1085,323.07395148153,2.080578,"C13H16O8"
"1087_234.14_2.1",1087,234.135157954668,2.0871346,"C11H12N4O"
"1088_353.13_2.1",1088,353.134587551882,2.0876164,"C16H17NO7"
"1089_345.01_2.1",1089,345.008636299075,2.079837,"C12H13BrN2O5"
"109_222.99_0.4",109,222.988685220148,0.41114324,"C6H5BrFNO"
"1090_201.16_2.1",1090,201.160019704102,2.0808835,"C10H17NO2"
"1091_318.12_2.1",1091,318.118621112094,2.0796287,"C13H16O8"
"1092_348.17_2.1",1092,348.165480616891,2.093237,"C15H22O8"
"1093_202.18_2.1",1093,202.180388497438,2.1017852,"C11H20O2"
"1094_153.13_2.1",1094,153.127684183595,2.101652,"C10H18O2"
"1095_319.15_2.1",1095,319.15146556826,2.0979068,"C14H15N5O3"
"1099_177.05_2.1",1099,177.054897083841,2.0589182,"C10H10O4"
"1101_265.15_2.1",1101,265.15488555357,2.0985222,"C14H17NO3"
"1103_184.1_2.1",1103,184.097158310174,2.1042368,"C9H10O3"
"1104_373.18_2.1",1104,373.183348896143,2.0988376,"C16H30O8"
"1105_252.11_2.1",1105,252.108104882149,2.1034093,"C10H15N5O4"
"1108_148.04_2.1",1108,148.039582098044,2.1144235,"C8H7NO3"
"1109_136.06_2.1",1109,136.062039601514,2.1037087,"C5H7N5O"
