"feature_id_full","feature_id","feature_mz","feature_rt","control_vs_trich_p_value","control_vs_trich_p_value_minus_log10","control_vs_trich_fold_change","control_vs_trich_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"524_137.05_0.9",524,137.046097153583,0.93129116,0.000102061521673366,3.99113796089679,0.665328941829696,-0.58786030252308,"Alkaloids","Pseudoalkaloids (transamidation)","Purine alkaloids","Sarkin",NA,NA,"C1=NC2=C(N1)C(=O)N=CN2",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)","FDGQSTZJBFJUBT"
"6628_1515.98_10.8",6628,1515.98367385452,10.849619,0.000123068343202563,3.90985364601696,0.669870194960225,-0.578046532496294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1370_409.11_2.5",1370,409.111339910962,2.5040853,0.000215202438977216,3.66715281094085,0.669967631342217,-0.577836699660424,"Terpenoids","Monoterpenoids","Cinnamic acids and derivatives","1-O-Sinapoyl-Beta-D-Glucose",NA,"COc1cc(/C=C/C(=O)O)cc(OC)c1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O","COC1=CC(=CC(=C1O)OC)C=CC(=O)OC2C(C(C(C(O2)CO)O)O)O",NA,NA,NA,NA,"KKLWTTVTWMTNBP","InChI=1S/C17H22O10/c1-24-9-5-8(3-4-12(19)20)6-10(25-2)16(9)27-17-15(23)14(22)13(21)11(7-18)26-17/h3-6,11,13-15,17-18,21-23H,7H2,1-2H3,(H,19,20)/b4-3+/t11-,13-,14+,15-,17+/m1/s1","KKLWTTVTWMTNBP-KYXYLJOWSA-N","InChI=1S/C17H22O10/c1-24-9-5-8(6-10(25-2)13(9)20)3-4-12(19)27-17-16(23)15(22)14(21)11(7-18)26-17/h3-6,11,14-18,20-23H,7H2,1-2H3","XRKBRPFTFKKHEF"
"667_287.11_1.3",667,287.110229385146,1.2622689,0.000257557848641811,3.5891252111886,0.630861080162209,-0.664605745822551,"Fatty acids","Ornithine alkaloids","N-acyl amines","N,N'-dipropylpropane-1,3-disulfonamide",NA,NA,"CCCNS(=O)(=O)CCCS(=O)(=O)NCCC",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C9H22N2O4S2/c1-3-6-10-16(12,13)8-5-9-17(14,15)11-7-4-2/h10-11H,3-9H2,1-2H3","UJEPGHRPAZYKMR"
"1371_404.16_2.5",1371,404.155351777923,2.5045373,0.000329153437683476,3.48260160477009,0.660123963244879,-0.59919112440795,"Shikimates and Phenylpropanoids","Phenylpropanoids (C6-C3)","Cinnamic acids and derivatives","1-O-Sinapoyl-Beta-D-Glucose",NA,"COc1cc(/C=C/C(=O)O)cc(OC)c1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O","COC1=CC(=CC(=C1O)OC)C=CC(=O)OC2C(C(C(C(O2)CO)O)O)O",NA,NA,NA,NA,"KKLWTTVTWMTNBP","InChI=1S/C17H22O10/c1-24-9-5-8(3-4-12(19)20)6-10(25-2)16(9)27-17-15(23)14(22)13(21)11(7-18)26-17/h3-6,11,13-15,17-18,21-23H,7H2,1-2H3,(H,19,20)/b4-3+/t11-,13-,14+,15-,17+/m1/s1","KKLWTTVTWMTNBP-KYXYLJOWSA-N","InChI=1S/C17H22O10/c1-24-9-5-8(6-10(25-2)13(9)20)3-4-12(19)27-17-16(23)15(22)14(21)11(7-18)26-17/h3-6,11,14-18,20-23H,7H2,1-2H3","XRKBRPFTFKKHEF"
"6689_172.12_10.9",6689,172.115626143957,10.921289,0.00037377039685749,3.42739509833052,0.64015089884561,-0.643516072031665,"Fatty acids","Monoterpenoids","Halogenated fatty acids","Carbamic acid, (butyldimethylsilyl)methyl ester",NA,NA,"CCCC[Si](C)(C)COC(=O)N",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C8H19NO2Si/c1-4-5-6-12(2,3)7-11-8(9)10/h4-7H2,1-3H3,(H2,9,10)","WIRBZCVTVAQDPB"
"1372_207.07_2.5",1372,207.065582016587,2.5045373,0.0004649017360986,3.33263883201301,0.678518076676093,-0.559540843305783,"Terpenoids","Phenylpropanoids (C6-C3)","Cinnamic acids and derivatives","2,5-Bis(dimethylsilyl)-p-benzoquinone",NA,"COc1cc2ccc(=O)oc2cc1OC","C[SiH](C)C1=CC(=O)C(=CC1=O)[SiH](C)C",NA,NA,NA,NA,"GUAFOGOEJLSQBT","InChI=1S/C11H10O4/c1-13-9-5-7-3-4-11(12)15-8(7)6-10(9)14-2/h3-6H,1-2H3","GUAFOGOEJLSQBT-UHFFFAOYSA-N","InChI=1S/C10H16O2Si2/c1-13(2)9-5-8(12)10(14(3)4)6-7(9)11/h5-6,13-14H,1-4H3","NUSHOBNNTVODGY"
"6684_409.18_10.9",6684,409.183853804889,10.896366,0.000611400765797506,3.21367402164293,0.666101815139961,-0.586185381598567,"Carbohydrates","Nucleosides","Pyrimidine nucleotides","4-amino-1-[(2R,3R,4S)-4-[di(propan-2-yloxy)phosphorylmethoxy]-3-hydroxyoxolan-2-yl]pyrimidin-2-one",NA,"CC(=O)C=C=C1C(C)(C)C[C@H](O)C[C@@]1(C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O","CC(C)OP(=O)(COC1COC(C1O)N2C=CC(=NC2=O)N)OC(C)C",NA,NA,NA,NA,"XTODSGVDHGMKSN","InChI=1S/C19H30O8/c1-10(21)5-6-13-18(2,3)7-11(22)8-19(13,4)27-17-16(25)15(24)14(23)12(9-20)26-17/h5,11-12,14-17,20,22-25H,7-9H2,1-4H3/t6?,11-,12+,14+,15-,16+,17-,19+/m0/s1","XTODSGVDHGMKSN-SIEIHWOKSA-N","InChI=1S/C15H26N3O7P/c1-9(2)24-26(21,25-10(3)4)8-23-11-7-22-14(13(11)19)18-6-5-12(16)17-15(18)20/h5-6,9-11,13-14,19H,7-8H2,1-4H3,(H2,16,17,20)","UVPHQPLOLYQCGL"
"3699_267.2_5.6",3699,267.197358804151,5.6144595,0.000693771734905527,3.1587833978128,0.679312524324524,-0.557852641828253,"Fatty acids","Fatty Acids and Conjugates","Halogenated fatty acids","5-[2-Fluoro-2-(hydroxymethyl)-4-methylpentoxy]-4-methylpentane-1,2-diol",NA,"CC1(C)[C@H](O)CC[C@]2(C)[C@H]3CC(=O)O[C@]3(C)CC[C@@H]12","CC(C)CC(CO)(COCC(C)CC(CO)O)F",NA,NA,NA,NA,"TXENFVISCXJJMT","InChI=1S/C16H26O3/c1-14(2)10-5-8-16(4)11(9-13(18)19-16)15(10,3)7-6-12(14)17/h10-12,17H,5-9H2,1-4H3/t10-,11+,12+,15-,16+/m0/s1","TXENFVISCXJJMT-DAEOAZLPSA-N","InChI=1S/C13H27FO4/c1-10(2)5-13(14,8-16)9-18-7-11(3)4-12(17)6-15/h10-12,15-17H,4-9H2,1-3H3","DYBXKRYZSXWGRA"
"647_163.09_1.2",647,163.086864963377,1.2247596,0.00108678952679883,2.96385455545418,0.640864440186231,-0.641908874008845,"Amino acids and Peptides","Small peptides","Aminoacids","2,5-Diamino-2-(fluoromethyl)pent-3-enoic acid",NA,NA,"C(C=CC(CF)(C(=O)O)N)N",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C6H11FN2O2/c7-4-6(9,5(10)11)2-1-3-8/h1-2H,3-4,8-9H2,(H,10,11)","VZKIJNFPNWRGLM"
