"feature_id","feature_id_full","feature_id_full_annotated","feature_mz","feature_rt","control_vs_trich_p_value","control_vs_trich_p_value_minus_log10","control_vs_trich_fold_change","control_vs_trich_fold_change_log2","sirius_name","sirius_chebiasciiname","sirius_chebiid","sirius_confidencescoreapproximate","sirius_confidencescoreexact","sirius_csi_fingeridscore","sirius_siriusscore","sirius_zodiacscore","sirius_inchi","sirius_inchikey2d","sirius_molecularformula","sirius_adduct","sirius_smiles","canopus_npc_pathway","canopus_npc_class","canopus_npc_superclass","met_annot_structure_exact_mass","met_annot_structure_inchi","met_annot_structure_inchikey","met_annot_short_inchikey","met_annot_structure_smiles","met_annot_structure_molecular_formula","met_annot_structure_nametraditional","met_annot_structure_wikidata","met_annot_structure_taxonomy_npclassifier_01pathway","met_annot_structure_taxonomy_npclassifier_02superclass","met_annot_structure_taxonomy_npclassifier_01pathway_consensus","met_annot_structure_taxonomy_npclassifier_02superclass_consensus","met_annot_structure_taxonomy_npclassifier_03class_consensus","met_annot_organism_name","met_annot_organism_taxonomy_01domain","met_annot_organism_taxonomy_02kingdom","met_annot_organism_taxonomy_03phylum","met_annot_organism_taxonomy_04class","met_annot_organism_taxonomy_05order","met_annot_organism_taxonomy_06family","met_annot_organism_taxonomy_07tribe","met_annot_organism_taxonomy_08genus","met_annot_organism_taxonomy_09species","met_annot_organism_taxonomy_10varietas","met_annot_organism_taxonomy_ottid","met_annot_organism_wikidata","met_annot_score_taxo","control","control.pval","trich","trich.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
4,"4_137.99_0.2","NA_[4_137.99_0.2]",137.987265044835,0.17496115,0.0482198387333703,1.31677424641241,0.797987831335809,-0.325561348195802,"N-(1,2-dichloroethyl)acetamide",NA,NA,0.415,0.415,-52.487,5.895,1,"InChI=1S/C4H7Cl2NO/c1-3(8)7-4(6)2-5/h4H,2H2,1H3,(H,7,8)","XDINYGSGZCMRLV","C4H7Cl2NO","[M - H2O + H]+","CC(=O)NC(CCl)Cl","Fatty acids","Halogenated fatty acids","Fatty Acids and Conjugates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.798403193612774,0,0.778443113772455,0,0.754491017964072,0.009,0.546906187624751
5,"5_167.98_0.3","NA_[5_167.98_0.3]",167.977410727008,0.25756824,0.0114744509838047,1.94026808491124,0.759746057767728,-0.396410811093994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.828343313373254,0,0.786427145708583,0,0.754491017964072,0.0106666666666667,0.457085828343313
9,"9_137.99_0.3","NA_[9_137.99_0.3]",137.987294664389,0.30043107,0.0243160499285536,1.61410697354253,0.790480510952794,-0.339198201055592,"N-(1,2-dichloroethyl)acetamide",NA,NA,0.3,0.3,-56.499,7.32,1,"InChI=1S/C4H7Cl2NO/c1-3(8)7-4(6)2-5/h4H,2H2,1H3,(H,7,8)","XDINYGSGZCMRLV","C4H7Cl2NO","[M - H2O + H]+","CC(=O)NC(CCl)Cl","Fatty acids","Halogenated fatty acids","Fatty Acids and Conjugates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.812375249500998,0,0.774451097804391,0,0.756487025948104,0,1
12,"12_158_0.3","NA_[12_158_0.3]",158.003167122012,0.29442346,0.0259372783838813,1.58607559667419,0.815605300910199,-0.294056942911955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00100150250438,0.147704590818363,1.00100150250438,0.171656686626747,1.00100150250438,0.189620758483034,0.034,0.0958083832335329
18,"18_295.9_0.3","NA_[18_295.9_0.3]",295.896752778979,0.30249953,0.0114301479294908,1.94194814890955,0.749176598109362,-0.416622259800358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00100150250438,0.103792415169661,1.00100150250438,0.163672654690619,1.00100150250438,0.167664670658683,0.0596666666666667,0.0139720558882236
23,"23_128.95_0.3","NA_[23_128.95_0.3]",128.951038471303,0.2951879,0.0130078858982802,1.88579328124913,0.724321204731511,-0.465298483615951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.800399201596806,0,0.786427145708583,0,0.7624750499002,0.0196666666666667,0.229540918163673
25,"25_154.99_0.3","NA_[25_154.99_0.3]",154.990448368131,0.31765395,0.0141843062735706,1.84819189983483,0.726180193005654,-0.461600514573286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.822355289421158,0,0.808383233532934,0,0.784431137724551,0.009,0.475049900199601
28,"28_182.99_0.3","NA_[28_182.99_0.3]",182.985401342128,0.31112695,0.00955269599552875,2.019874042998,0.734401334792022,-0.445359414000454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00100150250438,0.103792415169661,1.00100150250438,0.149700598802395,1.00100150250438,0.145708582834331,0.027,0.161676646706587
40,"40_141.96_0.3","NA_[40_141.96_0.3]",141.958812061295,0.32345635,0.00678240072145965,2.16861655457894,0.746067851432186,-0.422621251976121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.802395209580838,0,0.772455089820359,0,0.746506986027944,0.0106666666666667,0.491017964071856
43,"43_158.96_0.3","NA_[43_158.96_0.3]",158.961586002122,0.3241106,0.00779530838156037,2.10816669949235,0.729721227256099,-0.454582673179413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00100150250438,0.121756487025948,1.00100150250438,0.159680638722555,1.00100150250438,0.159680638722555,0.0486666666666667,0.0479041916167665
